,inlines,xlines,samples,volume,inlines_x_xlines,inlines_x_samples,xlines_x_samples,diagonal_length,surface_area,log_inlines,log_xlines,log_samples,log_volume,inline_to_xlines_ratio,inlines_to_samples_ratio,xlines_to_samples_ratio,inlines_to_total_ratio,xlines_to_total_ratio,samples_to_total_ratio,mean_inlines_xlines,std_inlines_xlines,quadratic_interaction,log_volume_x_log_diagonal
26,100,300,100,3000000,30000,10000,30000,331.66247903554,140000,6.643856189774724,8.228818690495881,6.643856189774724,21.516531070045332,0.3333333333333333,1.0,3.0,0.2,0.6,0.2,200.0,111.17517843242142,9000000000000,124.94925863546828
80,200,300,300,18000000,60000,60000,90000,469.041575982343,420000,7.643856189774724,8.228818690495881,8.228818690495881,24.101493570766486,0.6666666666666666,0.6666666666666666,1.0,0.25,0.375,0.375,250.0,111.17517843242142,324000000000000,148.292179396723
20,100,200,300,6000000,20000,30000,60000,374.16573867739413,220000,6.643856189774724,7.643856189774724,8.228818690495881,22.516531070045332,0.5,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.5,150.0,111.17517843242142,36000000000000,133.463763441989
106,300,100,400,12000000,30000,120000,40000,509.9019513592785,380000,8.228818690495881,6.643856189774724,8.643856189774725,23.516531070045332,3.0,0.75,0.25,0.375,0.125,0.5,200.0,111.17517843242142,144000000000000,146.65326654122597
14,100,200,100,2000000,20000,10000,20000,244.94897427831782,100000,6.643856189774724,7.643856189774724,6.643856189774724,20.931568569324174,0.5,1.0,2.0,0.25,0.5,0.25,150.0,111.17517843242142,4000000000000,115.23088243076079
115,300,200,300,18000000,60000,90000,60000,469.041575982343,420000,8.228818690495881,7.643856189774724,8.228818690495881,24.101493570766486,1.5,1.0,0.6666666666666666,0.375,0.25,0.375,250.0,111.17517843242142,324000000000000,148.292179396723
74,200,300,100,6000000,60000,20000,30000,374.16573867739413,220000,7.643856189774724,8.228818690495881,6.643856189774724,22.516531070045332,0.6666666666666666,2.0,3.0,0.3333333333333333,0.5,0.16666666666666666,250.0,111.17517843242142,36000000000000,133.463763441989
145,400,100,200,8000000,40000,80000,20000,458.257569495584,280000,8.643856189774725,6.643856189774724,7.643856189774724,22.931568569324174,4.0,2.0,0.5,0.5714285714285714,0.14285714285714285,0.2857142857142857,250.0,111.17517843242142,64000000000000,140.56159967960087
103,300,100,300,9000000,30000,90000,30000,435.88989435406734,300000,8.228818690495881,6.643856189774724,8.228818690495881,23.101493570766486,3.0,1.0,0.3333333333333333,0.42857142857142855,0.14285714285714285,0.42857142857142855,200.0,111.17517843242142,81000000000000,140.44971627767964
160,400,200,300,24000000,80000,120000,60000,538.5164807134504,520000,8.643856189774725,7.643856189774724,8.228818690495881,24.516531070045332,2.0,1.3333333333333333,0.6666666666666666,0.4444444444444444,0.2222222222222222,0.3333333333333333,300.0,111.17517843242142,576000000000000,154.22548820422688
47,100,400,400,16000000,40000,40000,160000,574.4562646538029,480000,6.643856189774724,8.643856189774725,8.643856189774725,23.931568569324174,0.25,0.25,1.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,250.0,111.17517843242142,256000000000000,152.08902460525113
29,100,300,200,6000000,30000,20000,60000,374.16573867739413,220000,6.643856189774724,8.228818690495881,7.643856189774724,22.516531070045332,0.3333333333333333,0.5,1.5,0.16666666666666666,0.5,0.3333333333333333,200.0,111.17517843242142,36000000000000,133.463763441989
50,200,100,100,2000000,20000,20000,10000,244.94897427831782,100000,7.643856189774724,6.643856189774724,6.643856189774724,20.931568569324174,2.0,2.0,1.0,0.5,0.25,0.25,150.0,111.17517843242142,4000000000000,115.23088243076079
92,200,400,300,24000000,80000,60000,120000,538.5164807134504,520000,7.643856189774724,8.643856189774725,8.228818690495881,24.516531070045332,0.5,0.6666666666666666,1.3333333333333333,0.2222222222222222,0.4444444444444444,0.3333333333333333,300.0,111.17517843242142,576000000000000,154.22548820422688
112,300,200,200,12000000,60000,60000,40000,412.31056256176606,320000,8.228818690495881,7.643856189774724,7.643856189774724,23.516531070045332,1.5,1.5,1.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,250.0,111.17517843242142,144000000000000,141.66826948939985
77,200,300,200,12000000,60000,40000,60000,412.31056256176606,320000,7.643856189774724,8.228818690495881,7.643856189774724,23.516531070045332,0.6666666666666666,1.0,1.5,0.2857142857142857,0.42857142857142855,0.2857142857142857,250.0,111.17517843242142,144000000000000,141.66826948939985
35,100,300,400,12000000,30000,40000,120000,509.9019513592785,380000,6.643856189774724,8.228818690495881,8.643856189774725,23.516531070045332,0.3333333333333333,0.25,0.75,0.125,0.375,0.5,200.0,111.17517843242142,144000000000000,146.65326654122597
2,100,100,100,1000000,10000,10000,10000,173.20508075688772,60000,6.643856189774724,6.643856189774724,6.643856189774724,19.931568569324174,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,100.0,111.17517843242142,1000000000000,102.85154246185313
151,400,100,400,16000000,40000,160000,40000,574.4562646538029,480000,8.643856189774725,6.643856189774724,8.643856189774725,23.931568569324174,4.0,1.0,0.25,0.4444444444444444,0.1111111111111111,0.4444444444444444,250.0,111.17517843242142,256000000000000,152.08902460525113
83,200,300,400,24000000,60000,80000,120000,538.5164807134504,520000,7.643856189774724,8.228818690495881,8.643856189774725,24.516531070045332,0.6666666666666666,0.5,0.75,0.2222222222222222,0.3333333333333333,0.4444444444444444,250.0,111.17517843242142,576000000000000,154.22548820422688
