inlines,xlines,samples,operator,avg_peak_memory_usage
100,100,100,envelope,0.112152099609375
100,100,100,gaussian-filter,0.1042798360188802
100,100,100,gst3d,0.3122507731119792
100,100,200,envelope,0.1367009480794271
100,100,200,gaussian-filter,0.1117998758951823
100,100,200,gst3d,0.5359052022298177
100,100,300,envelope,0.13122177124023438
100,100,300,gaussian-filter,0.1191418965657552
100,100,300,gst3d,0.7594655354817709
100,100,400,envelope,0.16015116373697916
100,100,400,gaussian-filter,0.1266810099283854
100,100,400,gst3d,0.9833691914876302
100,200,100,envelope,0.11840057373046875
100,200,100,gaussian-filter,0.11177444458007812
100,200,100,gst3d,0.5369860331217448
100,200,200,envelope,0.1710027058919271
100,200,200,gaussian-filter,0.1266657511393229
100,200,200,gst3d,0.9855690002441406
100,200,300,envelope,0.22575251261393228
100,200,300,gaussian-filter,0.14156595865885416
100,200,300,gst3d,1.4368832906087239
100,200,400,envelope,0.2564989725748698
100,200,400,gaussian-filter,0.15644963582356772
100,200,400,gst3d,1.8857421875
100,300,100,envelope,0.16207122802734375
100,300,100,gaussian-filter,0.11916097005208333
100,300,100,gst3d,0.7601305643717448
100,300,200,envelope,0.23291397094726562
100,300,200,gaussian-filter,0.14156595865885416
100,300,200,gst3d,1.4351437886555989
100,300,300,envelope,0.3122444152832031
100,300,300,gaussian-filter,0.16385523478190103
100,300,300,gst3d,2.0777371724446616
100,300,400,envelope,0.4000345865885417
100,300,400,gaussian-filter,0.18624242146809897
100,300,400,gst3d,2.743335723876953
100,400,100,envelope,0.1485112508138021
100,400,100,gaussian-filter,0.12667083740234375
100,400,100,gst3d,0.9815076192220052
100,400,200,envelope,0.27276865641276044
100,400,200,gaussian-filter,0.15645980834960938
100,400,200,gst3d,1.8867899576822917
100,400,300,envelope,0.35575230916341144
100,400,300,gaussian-filter,0.18626785278320312
100,400,300,gst3d,2.743330637613932
100,400,400,envelope,0.48691685994466144
100,400,400,gaussian-filter,0.21604792277018228
100,400,400,gst3d,3.6287638346354165
200,100,100,envelope,0.13395309448242188
200,100,100,gaussian-filter,0.11177571614583333
200,100,100,gst3d,0.5370534261067709
200,100,200,envelope,0.1528447469075521
200,100,200,gaussian-filter,0.12667338053385416
200,100,200,gst3d,0.986456553141276
200,100,300,envelope,0.18555323282877603
200,100,300,gaussian-filter,0.14155451456705728
200,100,300,gst3d,1.4350547790527344
200,100,400,envelope,0.2571309407552083
200,100,400,gaussian-filter,0.15645472208658853
200,100,400,gst3d,1.8857002258300781
200,200,100,envelope,0.14747746785481772
200,200,100,gaussian-filter,0.12666829427083334
200,200,100,gst3d,0.9863204956054688
200,200,200,envelope,0.2825469970703125
200,200,200,gaussian-filter,0.15645980834960938
200,200,200,gst3d,1.8933512369791667
200,200,300,envelope,0.3752797444661458
200,200,300,gaussian-filter,0.18625513712565103
200,200,300,gst3d,2.755859375
200,200,400,envelope,0.4907875061035156
200,200,400,gaussian-filter,0.21606953938802084
200,200,400,gst3d,3.6469713846842446
200,300,100,envelope,0.22249730428059897
200,300,100,gaussian-filter,0.14157485961914062
200,300,100,gst3d,1.4363555908203125
200,300,200,envelope,0.37983957926432294
200,300,200,gaussian-filter,0.18625640869140625
