inlines,xlines,samples,operator,avg_peak_memory_usage
100,800,300,envelope,0.7254425048828125
100,800,300,gaussian-filter,0.2860565185546875
100,800,300,gst3d,5.413542175292969
100,800,400,envelope,0.9347366333007813
100,800,400,gaussian-filter,0.34535980224609375
100,800,400,gst3d,7.1931396484375
100,800,500,envelope,1.1422393798828125
100,800,500,gaussian-filter,0.405181884765625
100,800,500,gst3d,8.97320098876953
100,800,600,envelope,1.347740936279297
100,800,600,gaussian-filter,0.46487274169921877
100,800,600,gst3d,10.752537536621094
100,800,700,envelope,1.5627159118652343
100,800,700,gaussian-filter,0.52457275390625
100,800,700,gst3d,12.532996368408202
100,800,800,envelope,1.7708030700683595
100,800,800,gaussian-filter,0.5841156005859375
100,800,800,gst3d,14.312516784667968
200,100,100,envelope,0.15169906616210938
200,100,100,gaussian-filter,0.121917724609375
200,100,100,gst3d,0.5483734130859375
200,100,200,envelope,0.2042938232421875
200,100,200,gaussian-filter,0.1369232177734375
200,100,200,gst3d,0.9976997375488281
200,100,300,envelope,0.2593803405761719
200,100,300,gaussian-filter,0.15189895629882813
200,100,300,gst3d,1.4473526000976562
200,100,400,envelope,0.30965499877929686
200,100,400,gaussian-filter,0.16651840209960939
200,100,400,gst3d,1.8973251342773438
200,100,500,envelope,0.36629791259765626
200,100,500,gaussian-filter,0.18166961669921874
200,100,500,gst3d,2.3077461242675783
200,100,600,envelope,0.4166748046875
200,100,600,gaussian-filter,0.19644393920898437
200,100,600,gst3d,2.750092315673828
200,100,700,envelope,0.46337432861328126
200,100,700,gaussian-filter,0.2115814208984375
200,100,700,gst3d,3.191816711425781
200,100,800,envelope,0.5197830200195312
200,100,800,gaussian-filter,0.22636566162109376
200,100,800,gst3d,3.633641815185547
200,200,100,envelope,0.20487594604492188
200,200,100,gaussian-filter,0.13701019287109376
200,200,100,gst3d,0.9973884582519531
200,200,200,envelope,0.30910720825195315
200,200,200,gaussian-filter,0.16658554077148438
200,200,200,gst3d,1.9048919677734375
200,200,300,envelope,0.4098182678222656
200,200,300,gaussian-filter,0.19637298583984375
200,200,300,gst3d,2.7669586181640624
200,200,400,envelope,0.5171043395996093
200,200,400,gaussian-filter,0.22623138427734374
200,200,400,gst3d,3.658666229248047
200,200,500,envelope,0.6244285583496094
200,200,500,gaussian-filter,0.2562774658203125
200,200,500,gst3d,4.550830841064453
200,200,600,envelope,0.72645263671875
200,200,600,gaussian-filter,0.2860740661621094
200,200,600,gst3d,5.442897033691406
200,200,700,envelope,0.8308547973632813
200,200,700,gaussian-filter,0.31597137451171875
200,200,700,gst3d,6.335211181640625
200,200,800,envelope,0.9345108032226562
200,200,800,gaussian-filter,0.34544830322265624
200,200,800,gst3d,7.227832794189453
200,300,100,envelope,0.25896148681640624
200,300,100,gaussian-filter,0.151812744140625
200,300,100,gst3d,1.4473655700683594
200,300,200,envelope,0.4165214538574219
200,300,200,gaussian-filter,0.19659347534179689
200,300,200,gst3d,2.7671714782714845
200,300,300,envelope,0.5701492309570313
200,300,300,gaussian-filter,0.24111404418945312
200,300,300,gst3d,4.108684539794922
200,300,400,envelope,0.7315460205078125
200,300,400,gaussian-filter,0.2860908508300781
200,300,400,gst3d,5.451211547851562
200,300,500,envelope,0.8828269958496093
