inlines,xlines,samples,operator,avg_peak_memory_usage,volume,inlines_x_xlines,inlines_x_samples,xlines_x_samples,diagonal_length,surface_area,log_inlines,log_xlines,log_samples,log_volume,inline_to_xlines_ratio,inlines_to_samples_ratio,xlines_to_samples_ratio,inlines_to_total_ratio,xlines_to_total_ratio,samples_to_total_ratio,mean_inlines_xlines,std_inlines_xlines,quadratic_interaction,log_volume_x_log_diagonal
100,100,100,envelope,0.12813949584960938,1000000,10000,10000,10000,173.20508075688772,60000,6.643856189774724,6.643856189774724,6.643856189774724,19.931568569324174,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,100.0,229.13936293319264,1000000000000,102.85154246185313
100,100,100,gaussian-filter,0.11447372436523437,1000000,10000,10000,10000,173.20508075688772,60000,6.643856189774724,6.643856189774724,6.643856189774724,19.931568569324174,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,100.0,229.13936293319264,1000000000000,102.85154246185313
100,100,100,gst3d,0.3255287170410156,1000000,10000,10000,10000,173.20508075688772,60000,6.643856189774724,6.643856189774724,6.643856189774724,19.931568569324174,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,100.0,229.13936293319264,1000000000000,102.85154246185313
100,100,200,envelope,0.15153350830078124,2000000,10000,20000,20000,244.94897427831782,100000,6.643856189774724,6.643856189774724,7.643856189774724,20.931568569324174,1.0,0.5,0.5,0.25,0.25,0.5,100.0,229.13936293319264,4000000000000,115.23088243076079
100,100,200,gaussian-filter,0.12197341918945312,2000000,10000,20000,20000,244.94897427831782,100000,6.643856189774724,6.643856189774724,7.643856189774724,20.931568569324174,1.0,0.5,0.5,0.25,0.25,0.5,100.0,229.13936293319264,4000000000000,115.23088243076079
100,100,200,gst3d,0.5485153198242188,2000000,10000,20000,20000,244.94897427831782,100000,6.643856189774724,6.643856189774724,7.643856189774724,20.931568569324174,1.0,0.5,0.5,0.25,0.25,0.5,100.0,229.13936293319264,4000000000000,115.23088243076079
100,100,300,envelope,0.1800537109375,3000000,10000,30000,30000,331.66247903554,140000,6.643856189774724,6.643856189774724,8.228818690495881,21.516531070045332,1.0,0.3333333333333333,0.3333333333333333,0.2,0.2,0.6,100.0,229.13936293319264,9000000000000,124.94925863546828
100,100,300,gaussian-filter,0.12960891723632811,3000000,10000,30000,30000,331.66247903554,140000,6.643856189774724,6.643856189774724,8.228818690495881,21.516531070045332,1.0,0.3333333333333333,0.3333333333333333,0.2,0.2,0.6,100.0,229.13936293319264,9000000000000,124.94925863546828
100,100,300,gst3d,0.7709701538085938,3000000,10000,30000,30000,331.66247903554,140000,6.643856189774724,6.643856189774724,8.228818690495881,21.516531070045332,1.0,0.3333333333333333,0.3333333333333333,0.2,0.2,0.6,100.0,229.13936293319264,9000000000000,124.94925863546828
100,100,400,envelope,0.20627593994140625,4000000,10000,40000,40000,424.26406871192853,180000,6.643856189774724,6.643856189774724,8.643856189774725,21.931568569324174,1.0,0.25,0.25,0.16666666666666666,0.16666666666666666,0.6666666666666666,100.0,229.13936293319264,16000000000000,132.7454312843676
100,100,400,gaussian-filter,0.1371307373046875,4000000,10000,40000,40000,424.26406871192853,180000,6.643856189774724,6.643856189774724,8.643856189774725,21.931568569324174,1.0,0.25,0.25,0.16666666666666666,0.16666666666666666,0.6666666666666666,100.0,229.13936293319264,16000000000000,132.7454312843676
100,100,400,gst3d,0.9940521240234375,4000000,10000,40000,40000,424.26406871192853,180000,6.643856189774724,6.643856189774724,8.643856189774725,21.931568569324174,1.0,0.25,0.25,0.16666666666666666,0.16666666666666666,0.6666666666666666,100.0,229.13936293319264,16000000000000,132.7454312843676
100,100,500,envelope,0.23348236083984375,5000000,10000,50000,50000,519.6152422706632,220000,6.643856189774724,6.643856189774724,8.965784284662087,22.253496664211536,1.0,0.2,0.2,0.14285714285714285,0.14285714285714285,0.7142857142857143,100.0,229.13936293319264,25000000000000,139.19587244063456
100,100,500,gaussian-filter,0.1441802978515625,5000000,10000,50000,50000,519.6152422706632,220000,6.643856189774724,6.643856189774724,8.965784284662087,22.253496664211536,1.0,0.2,0.2,0.14285714285714285,0.14285714285714285,0.7142857142857143,100.0,229.13936293319264,25000000000000,139.19587244063456
100,100,500,gst3d,1.2167129516601562,5000000,10000,50000,50000,519.6152422706632,220000,6.643856189774724,6.643856189774724,8.965784284662087,22.253496664211536,1.0,0.2,0.2,0.14285714285714285,0.14285714285714285,0.7142857142857143,100.0,229.13936293319264,25000000000000,139.19587244063456
