model_name,score,accuracy,rmse,mae,r2,residuals,y_pred,y_test,hyperparams,accuracy_weight,rmse_weight,mae_weight,r2_weight
linear_regression,2.772497373164634,1.0,0.0057694911983737635,0.003752819208986695,0.9999999404963378,"[0.00036791337751118647, 0.02213588082091178, 0.0009672411654761959, 0.001438199014842212, -0.00026656103519684393, -0.0009352057410723091, -0.0033631403643443747, 0.006129899445156184, -0.005913997470895271, 0.006151888758541002, -0.005951574659938341, 0.0008043281912328837, -0.0012806197795089957, 0.007305420043375199, -0.001138031121714178, -0.0021561278254598193, 0.0001090287904617071, -0.0017139678115913881, -0.0069452568680801186, -0.00080115110122847, -0.0055221948104637875, 0.0002728280574970654, 0.003824495442707132, 0.005832482389705018, 0.007853242994393383, -0.0019128035340276739, 0.0026466785907643953, -8.028251619407456e-05, -0.0046500997752181306, -0.006929336520986151, 0.007749032076292295, -0.005519938836510363, -0.004563476564487523, 0.0022006055068168884, -0.0024997783747942037, -0.002104232179633847, -0.0053197978226791065, 0.001686910282209908, 0.0007357585835379155, -0.00012056518785996673, -0.005827082852691401, 0.0020196824427394233, -0.006414050686167627, -0.001974472838284669, -0.006767500116445502, 0.0237819290043928, -0.0010981559852467626, -0.00046005569999252316, -0.004565493641738527, -0.0009263492000961548, 0.025145459863072483, 0.0041212341438097155, -1.2595448972696488e-05, 0.001197485144782462, -0.0073807815549606914, 0.000692841587394355, -0.0006745644169079412, 0.0014539219363456368, -0.0008295436187140126, -0.0036410854258051017, -0.0009884020431343288, 0.0021832978308893303, 0.005250651193474454, -0.004995789294882869, -0.0006891623721116957, -0.004999865142685245, -0.0002536330488780436, -0.004930775991598413, -0.0024194583584069562, 0.00016338351672828821, -0.002050576332337073, -0.005371309429058169, -0.005072109290472859, -0.005619275792843048, 0.004910763369544213, 0.0018885841340718912, 0.0001443366974385185, -0.0035313672671506424, -0.006621367595113448, 0.0010143186153683814, -0.0012762242676167546, 0.004214123440963391, -0.005438667542887465, -0.00045155859171686075, 0.00030958879958120633, 0.001242232832190382, -0.0006470388424624218, 0.0023184923953749603, 0.004269391734425199, -0.001935171448426587, -0.0003626457924639226, -0.0031901111154564177, -0.006487258718841815, -0.0019705878376443664, -0.004334074809654087, 0.0021914498314430375, -0.0006835163166130087, -0.005537567631277884, 0.016132243839052318, 0.002307288752511738]","[14.414095892774833, 1.8827560869525257, 36.07616822636382, 32.44761957076055, 32.47497664404301, 88.5058370917274, 10.849430950422938, 12.526858839568515, 2.7556942709083954, 0.9915646334582559, 2.755663183546657, 28.396178246271656, 12.622611643949432, 0.9869931334234217, 13.523003112908823, 11.281349243059834, 21.63486945631696, 6.306792092811591, 2.773946599641518, 88.50580679685318, 4.556324807115152, 37.88577606110266, 43.26001370035807, 0.9915559758622481, 14.304663541673575, 10.831192893866058, 9.416672474241267, 86.69167955619784, 5.447547133466625, 2.3146754607885645, 14.304692221585817, 4.5563507799009635, 6.798022796632847, 0.7687695483017769, 10.831181724175575, 7.229937026369087, 5.456638157197679, 33.12510752331154, 27.04117250557662, 31.570140859377315, 3.646902217130035, 8.971241578543589, 2.3146583744166365, 101.16831816180313, 0.3322962171574611, 1.8736370468256853, 13.523003673563371, 24.344928744664838, 6.798020236073379, 13.522916553057518, 1.859921526220912, 25.19049317625658, 7.861817557607176, 18.90659823018725, 2.0964318374631636, 55.277748778285655, 25.25432065206339, 57.7374498866574, 27.064037551431213, 10.84941363791604, 75.84306985345916, 8.971238180440595, 28.78256978337684, 7.248175110583945, 20.293575514911176, 5.4566371332090915, 32.47498278954302, 3.1967474874173796, 13.545804773299814, 7.193298988309444, 101.16835688126397, 3.424106813579449, 5.4566544457162545, 2.755711591466671, 28.782337466610926, 37.85393645859054, 37.88583665085139, 6.338742548907776, 4.115305907390035, 36.07612038597448, 16.228450601709024, 25.190299578951613, 2.7602711260389814, 31.570068257810465, 40.60494858991136, 18.00627958723617, 24.344937962914727, 50.51705177738002, 25.190471666615185, 16.91964833673163, 64.99440256278466, 9.480726121857645, 3.665153487966889, 5.415589057075926, 3.637779051616295, 50.517175005246685, 75.84310447578927, 2.7602670293012, 1.423457447323057, 50.51705382574944]","[14.414463806152344, 1.9048919677734375, 36.077135467529295, 32.44905776977539, 32.474710083007814, 88.50490188598633, 10.846067810058594, 12.532988739013671, 2.7497802734375, 0.9977165222167969, 2.749711608886719, 28.39698257446289, 12.621331024169923, 0.9942985534667969, 13.521865081787109, 11.279193115234374, 21.63497848510742, 6.305078125, 2.7670013427734377, 88.50500564575195, 4.550802612304688, 37.88604888916016, 43.26383819580078, 0.9973884582519531, 14.312516784667968, 10.82928009033203, 9.419319152832031, 86.69159927368165, 5.442897033691406, 2.3077461242675783, 14.31244125366211, 4.550830841064453, 6.79345932006836, 0.7709701538085938, 10.828681945800781, 7.227832794189453, 5.451318359375, 33.12679443359375, 27.041908264160156, 31.570020294189455, 3.6410751342773438, 8.973261260986328, 2.308244323730469, 101.16634368896484, 0.3255287170410156, 1.8974189758300781, 13.521905517578125, 24.344468688964845, 6.79345474243164, 13.521990203857422, 1.8850669860839844, 25.19461441040039, 7.861804962158203, 18.907795715332032, 2.089051055908203, 55.27844161987305, 25.253646087646484, 57.73890380859375, 27.0632080078125, 10.845772552490235, 75.84208145141602, 8.973421478271485, 28.787820434570314, 7.2431793212890625, 20.292886352539064, 5.451637268066406, 32.47472915649414, 3.191816711425781, 13.543385314941407, 7.193462371826172, 101.16630630493164, 3.4187355041503906, 5.451582336425782, 2.750092315673828, 28.78724822998047, 37.85582504272461, 37.88598098754883, 6.335211181640625, 4.108684539794922, 36.077134704589845, 16.227174377441408, 25.194513702392577, 2.754832458496094, 31.56961669921875, 40.60525817871094, 18.00752182006836, 24.344290924072265, 50.51937026977539, 25.19474105834961, 16.917713165283203, 64.9940399169922, 9.477536010742188, 3.658666229248047, 5.413618469238282, 3.633444976806641, 50.51936645507813, 75.84242095947266, 2.754729461669922, 1.4395896911621093, 50.519361114501955]",{},1.958606398893895,0.5531296121750755,0.7398424312232946,0.819858794371862
polynomial_regression,-3.3116361774021947,0.64,4.712624673520411,3.7112796042586886,0.9602996467996966,"[2.3760536248458166, -4.929452414720146, 3.093735088862765, 0.0660633272145219, 5.689442421672652, 8.846923084514202, 2.1089078068867284, -0.8811645779426716, -4.156564986677928, -5.816438392288473, -4.158597516213796, 2.477034049249262, 2.1775338980060948, -5.8206415177036055, 2.6093817414392806, 1.9221780663502983, 4.139210171728632, -1.4511817920435863, -4.112832922322402, 7.1036033859634955, -2.5350247922593345, 2.7295129051993925, -16.51761202457582, -5.8168183232245605, -2.1616091633115264, 1.6774734730016156, -0.4145513522841675, 1.0133162739895738, -1.8156833720942567, -4.558874038859779, -2.0719292763911117, -2.531106540664398, -0.7284511519580974, -6.0409402390313405, 1.6727563864432096, -0.5829778143275659, -1.7619342794848034, -0.22908294148162867, 2.5751393706694756, 5.496939049106871, -3.364581653751208, -0.3891767459421107, -4.559175150342332, 3.950317801585726, -6.48415922590911, -4.942684395438448, 2.6231085438556416, 4.69425462998711, -0.7302165947381098, 2.4928080288140517, -4.964508350276749, -2.384553670113217, -0.6914067222122249, 2.254790648299018, -4.76131557830347, 0.35744903402915895, 5.479020210749415, -18.559159354478695, 6.214135582604342, 2.0936750590043545, 0.7073778587222819, -0.4012709688947602, -7.573484730079294, -0.38334359376725313, 5.106079524406814, -1.7620661559415547, 5.786830206071251, -3.7668535595893844, 3.4520279165609473, -1.050480978152427, 7.180993906928805, -3.5573396140305054, -1.7583867150022563, -4.155319314289147, -9.156447215360053, -5.1958390576692395, 3.3698862740652586, -1.1630900951755034, -2.8918967879893147, 2.675956748345662, 3.5038852607521616, -3.394252343674925, -4.144100286047821, 4.904972023144609, 6.151503335008854, 2.3158998704181446, 4.776231714917579, -8.391941200667489, -2.5905840977597308, 4.535693467214264, 0.7782382970395361, 0.9032661404192677, -3.3000603702156677, -2.033934893750043, -3.396049233201617, -6.036284240924303, 2.171581746196864, -4.144654064962053, -5.387271984418499, -8.313414098654441]","[12.038410181306528, 6.834344382493583, 32.98340037866653, 32.38299444256087, 26.785267661335162, 79.65797880147213, 8.737160003171866, 13.414153316956343, 6.906345260115429, 6.814154914505269, 6.908309125100514, 25.919948525213627, 10.443797126163828, 6.814940071170402, 10.912483340347828, 9.357015048884076, 17.49576831337879, 7.756259917043586, 6.879834265095839, 81.40140225978845, 7.085827404564022, 35.156535983960765, 59.7814502203766, 6.814206781476513, 16.474125947979495, 9.151806617330415, 9.833870505116199, 85.67828299969207, 7.258580405785663, 6.866620163127357, 16.38437053005322, 7.081937381728851, 7.521910472026457, 6.811910392839934, 9.155925559357572, 7.810810608517019, 7.213252638859803, 33.35587737507538, 24.46676889349068, 26.073081245082584, 7.005656788028552, 9.36243800692844, 6.867419474072801, 97.21602588737912, 6.809687942950125, 6.840103371268526, 10.898796973722483, 19.650214058977735, 7.52367133716975, 11.02918217504337, 6.849575336360734, 27.579168080513607, 8.553211684370428, 16.653005067033014, 6.850366634211673, 54.92099258584389, 19.77462587689707, 76.29806316307244, 20.849072425208156, 8.75209749348588, 75.13470359269374, 9.374692447166245, 36.36130516464961, 7.626522915056316, 15.18680682813225, 7.213703424007961, 26.68789895042289, 6.9586702710151656, 10.09135739838046, 8.243943349978599, 93.98531239800283, 6.976075118180896, 7.209969051428038, 6.905411629962975, 37.94369544534052, 43.05166410039385, 34.51609471348357, 7.498301276816129, 7.000581327784237, 33.40117795624418, 12.723289116689246, 28.5887660460675, 6.898932744543915, 26.66464467607414, 34.453754843702086, 15.691621949650214, 19.568059209154686, 58.91131147044288, 27.78532515610934, 12.38201969806894, 64.21580161995266, 8.57426987032292, 6.958726599463715, 7.447553362988325, 7.029494210008258, 56.55565069600243, 73.6708392132758, 6.899383526631975, 6.826861675580608, 58.832775213156395]","[14.414463806152344, 1.9048919677734375, 36.077135467529295, 32.44905776977539, 32.474710083007814, 88.50490188598633, 10.846067810058594, 12.532988739013671, 2.7497802734375, 0.9977165222167969, 2.749711608886719, 28.39698257446289, 12.621331024169923, 0.9942985534667969, 13.521865081787109, 11.279193115234374, 21.63497848510742, 6.305078125, 2.7670013427734377, 88.50500564575195, 4.550802612304688, 37.88604888916016, 43.26383819580078, 0.9973884582519531, 14.312516784667968, 10.82928009033203, 9.419319152832031, 86.69159927368165, 5.442897033691406, 2.3077461242675783, 14.31244125366211, 4.550830841064453, 6.79345932006836, 0.7709701538085938, 10.828681945800781, 7.227832794189453, 5.451318359375, 33.12679443359375, 27.041908264160156, 31.570020294189455, 3.6410751342773438, 8.973261260986328, 2.308244323730469, 101.16634368896484, 0.3255287170410156, 1.8974189758300781, 13.521905517578125, 24.344468688964845, 6.79345474243164, 13.521990203857422, 1.8850669860839844, 25.19461441040039, 7.861804962158203, 18.907795715332032, 2.089051055908203, 55.27844161987305, 25.253646087646484, 57.73890380859375, 27.0632080078125, 10.845772552490235, 75.84208145141602, 8.973421478271485, 28.787820434570314, 7.2431793212890625, 20.292886352539064, 5.451637268066406, 32.47472915649414, 3.191816711425781, 13.543385314941407, 7.193462371826172, 101.16630630493164, 3.4187355041503906, 5.451582336425782, 2.750092315673828, 28.78724822998047, 37.85582504272461, 37.88598098754883, 6.335211181640625, 4.108684539794922, 36.077134704589845, 16.227174377441408, 25.194513702392577, 2.754832458496094, 31.56961669921875, 40.60525817871094, 18.00752182006836, 24.344290924072265, 50.51937026977539, 25.19474105834961, 16.917713165283203, 64.9940399169922, 9.477536010742188, 3.658666229248047, 5.413618469238282, 3.633444976806641, 50.51936645507813, 75.84242095947266, 2.754729461669922, 1.4395896911621093, 50.519361114501955]","{""degree"": 2}",1.958606398893895,0.5531296121750755,0.7398424312232946,0.819858794371862
decision_tree,1.5702330438661025,0.97,1.5707808169966697,0.3744209231058755,0.9955893779651765,"[-5.218505859261313e-05, 0.007627258300781481, -9.346008305044506e-06, -0.0002851867675701669, -5.798339843465783e-05, -7.234358673095699, 0.00078582763671875, 0.00010337829589879277, -0.00015233357747401755, 0.002514902750651027, -0.00022099812825526755, 2.792358398551187e-05, 2.8533935546803946e-05, -0.0009030659993489731, -1.5258789064276357e-05, 0.00025672912597585196, -9.277343750113687e-05, 6.317138671896316e-05, -6.370544433575986e-05, -7.234254913330076, 0.021032333374023438, -0.00022481282552178072, -0.00010147094726420391, 0.002186838785807277, -0.10199920654296868, 0.0006628036499005674, 0.00027008056640553946, -9.04766128540038, -0.005044555664063033, 0.0002174377441410691, -0.10207473754882734, 0.02161102294921946, 8.373260498117929e-05, 0.1334754943847657, 6.465911865127794e-05, -0.007859230041503018, 0.003376770019530184, -0.4241352844238193, 0.00022994995116931705, 0.00019429524740033344, -6.980895996111514e-05, 9.918212890625e-05, 0.0007156372070316053, 5.427083129882817, -0.3119659423828125, 0.00015426635742210593, 2.5177001951703915e-05, -0.000141143798828125, 7.915496826171875e-05, 0.00010986328124928946, 0.0001697540283203125, -0.023623199462889488, -2.3651123047585543e-05, -0.00014373779296761313, 0.0001373291015625, 0.00047035217285440467, 0.03540847778320355, 0.437206649780272, -0.0002728271484393474, 0.0004905700683597303, -0.00014858245847904072, 0.0002593994140625, -0.05089130401611186, 0.007487297058106357, 0.0004556274414078132, 0.0036956787109367895, -3.890991210653283e-05, 9.53674316450659e-06, 0.00045867919921960265, 0.0002871704101563566, 5.427045745849611, -0.0001551818847653763, 0.0036407470703121447, 0.000159708658853841, -0.05146350860595561, -0.00038040161133068295, -0.0002927144368527479, 0.0002933502197270954, -0.00010948181152414804, -1.0108947755327335e-05, 0.0074392700195318184, -0.02372390747070341, -4.2152404784889796e-05, -0.00020929972330563373, 0.566039657592782, 0.00017684936523210126, -0.00031890869140838163, -1.8056233720642467e-05, -0.023496551513670028, 2.365112304403283e-05, -0.6795791625976619, -0.00032638549804708816, -7.514953613263486e-05, -8.697509764843403e-06, 1.1138916016228961e-05, -2.1870930986267467e-05, 0.00019092559816158428, -0.0001451492309567648, -0.0001651763916015181, -2.7211507159563553e-05]","[14.414515991210937, 1.897264709472656, 36.0771448135376, 32.449342956542964, 32.47476806640625, 95.73926055908203, 10.845281982421875, 12.532885360717772, 2.749932607014974, 0.9952016194661458, 2.749932607014974, 28.396954650878904, 12.621302490234376, 0.9952016194661458, 13.521880340576173, 11.278936386108398, 21.635071258544922, 6.305014953613281, 2.7670650482177734, 95.73926055908203, 4.529770278930664, 37.88627370198568, 43.263939666748044, 0.9952016194661458, 14.414515991210937, 10.82861728668213, 9.419049072265626, 95.73926055908203, 5.4479415893554695, 2.3075286865234372, 14.414515991210937, 4.529219818115234, 6.7933755874633786, 0.6374946594238281, 10.82861728668213, 7.235692024230956, 5.4479415893554695, 33.55092971801757, 27.041678314208987, 31.569825998942054, 3.641144943237305, 8.973162078857422, 2.3075286865234372, 95.73926055908203, 0.6374946594238281, 1.897264709472656, 13.521880340576173, 24.344609832763673, 6.7933755874633786, 13.521880340576173, 1.884897232055664, 25.21823760986328, 7.861828613281251, 18.907939453125, 2.0889137268066404, 55.277971267700195, 25.21823760986328, 57.301697158813475, 27.063480834960938, 10.845281982421875, 75.8422300338745, 8.973162078857422, 28.838711738586426, 7.235692024230956, 20.292430725097656, 5.4479415893554695, 32.47476806640625, 3.1918071746826167, 13.542926635742187, 7.1931752014160155, 95.73926055908203, 3.418890686035156, 5.4479415893554695, 2.749932607014974, 28.838711738586426, 37.85620544433594, 37.88627370198568, 6.334917831420898, 4.108794021606446, 36.0771448135376, 16.219735107421876, 25.21823760986328, 2.754874610900879, 31.569825998942054, 40.03921852111816, 18.007344970703127, 24.344609832763673, 50.519388326009114, 25.21823760986328, 16.91768951416016, 65.67361907958986, 9.477862396240235, 3.6587413787841796, 5.4136271667480464, 3.6334338378906246, 50.519388326009114, 75.8422300338745, 2.754874610900879, 1.4397548675537108, 50.519388326009114]","[14.414463806152344, 1.9048919677734375, 36.077135467529295, 32.44905776977539, 32.474710083007814, 88.50490188598633, 10.846067810058594, 12.532988739013671, 2.7497802734375, 0.9977165222167969, 2.749711608886719, 28.39698257446289, 12.621331024169923, 0.9942985534667969, 13.521865081787109, 11.279193115234374, 21.63497848510742, 6.305078125, 2.7670013427734377, 88.50500564575195, 4.550802612304688, 37.88604888916016, 43.26383819580078, 0.9973884582519531, 14.312516784667968, 10.82928009033203, 9.419319152832031, 86.69159927368165, 5.442897033691406, 2.3077461242675783, 14.31244125366211, 4.550830841064453, 6.79345932006836, 0.7709701538085938, 10.828681945800781, 7.227832794189453, 5.451318359375, 33.12679443359375, 27.041908264160156, 31.570020294189455, 3.6410751342773438, 8.973261260986328, 2.308244323730469, 101.16634368896484, 0.3255287170410156, 1.8974189758300781, 13.521905517578125, 24.344468688964845, 6.79345474243164, 13.521990203857422, 1.8850669860839844, 25.19461441040039, 7.861804962158203, 18.907795715332032, 2.089051055908203, 55.27844161987305, 25.253646087646484, 57.73890380859375, 27.0632080078125, 10.845772552490235, 75.84208145141602, 8.973421478271485, 28.787820434570314, 7.2431793212890625, 20.292886352539064, 5.451637268066406, 32.47472915649414, 3.191816711425781, 13.543385314941407, 7.193462371826172, 101.16630630493164, 3.4187355041503906, 5.451582336425782, 2.750092315673828, 28.78724822998047, 37.85582504272461, 37.88598098754883, 6.335211181640625, 4.108684539794922, 36.077134704589845, 16.227174377441408, 25.194513702392577, 2.754832458496094, 31.56961669921875, 40.60525817871094, 18.00752182006836, 24.344290924072265, 50.51937026977539, 25.19474105834961, 16.917713165283203, 64.9940399169922, 9.477536010742188, 3.658666229248047, 5.413618469238282, 3.633444976806641, 50.51936645507813, 75.84242095947266, 2.754729461669922, 1.4395896911621093, 50.519361114501955]","{""max_depth"": 15, ""min_samples_split"": 6}",1.958606398893895,0.5531296121750755,0.7398424312232946,0.819858794371862
random_forest,2.1333078872124465,0.98,0.8043601932565176,0.2164265120682572,0.9988434356414316,"[0.024102237662305015, 0.08208919486878274, -0.13875287096536937, 0.007872903539180243, 0.14421578425056936, -3.6649707987045304, 0.07640340580541682, -0.03921556202701737, -0.019816669072072024, 0.07971551957109002, -0.0243716640604541, 0.0006288561445870755, 0.04232410844050527, 0.017295330231835715, -0.007841862383799025, 0.07742665816194183, -0.004569436885240918, 0.0011069242639925037, 0.03009947577049532, -3.6468735256196823, 0.023368439223175663, 0.04714206600323223, -0.5012788385171589, 0.08386359857431835, -0.07025058042043675, 0.014783209367516648, -0.016804122091141238, -5.9478795115153105, 0.012306295468360595, 0.050613141093051706, -0.07637896002790256, 0.022656952279612952, 0.024588058956379832, 0.02787537369092752, 0.017950675994365284, 0.005567961170231506, 0.018413174808637578, -0.1736759383620523, -0.01815091070281838, -0.1127093799439649, 0.023428015224748577, -0.03226309846592024, 0.05045166622936348, -0.13941669209806662, -0.3364993942422212, 0.00599148754279355, -0.008024716367115658, 0.31834171099313835, 0.024583481319660372, -0.007442311785409217, -0.015161650578553454, -0.07341248082957108, -0.027208745916048827, -0.0032141239087266626, 0.02384281317672876, 0.3227311138951521, -0.012977456725558056, -0.3793714762592444, -0.004297033078053403, 0.07611186290448657, -0.019958031209299065, -0.0339404614266563, -0.26350027066428083, 0.04839527726964654, 0.0005612055723211995, 0.018732083500044183, 0.13875258548277714, -0.05302910807235195, 0.00220748499177148, -0.015434807182914234, -0.9356143964132855, 0.0053041846122323655, 0.01867715185941954, -0.02315818987302487, -0.27913145860479815, -0.030719387083166794, 0.05421435828269239, 0.026151493913263657, 0.022632314835128398, -0.18963687429578613, 0.020989256078095764, -0.05273622185239546, -0.0039150765449877944, -0.1262762912599058, 0.4808021903990465, 0.02467261905111684, 0.3117444234891451, 0.10168527567106622, -0.06793082395883232, 0.06715391957213868, -0.4255554183838228, 0.015321601189674183, 0.077935045719149, -0.014329559739606701, 0.014099314629315796, -0.04918987267829067, -0.17644074185689362, -0.0011466877907637674, -0.015538777864884112, 0.13471565577169997]","[14.39036156849004, 1.8228027729046548, 36.215888338494665, 32.44118486623621, 32.330494298757245, 92.16987268469086, 10.769664404253177, 12.572204301040689, 2.769596942509572, 0.9180010026457068, 2.774083272947173, 28.396353718318302, 12.579006915729417, 0.9770032232349611, 13.529706944170908, 11.201766457072432, 21.639547921992662, 6.303971200736007, 2.7369018670029424, 92.15187917137163, 4.527434173081512, 37.838906823156925, 43.76511703431794, 0.9135248596776347, 14.382767365088405, 10.814496880964514, 9.436123274923172, 92.63947878519696, 5.430590738223046, 2.2571329831745266, 14.388820213690012, 4.52817388878484, 6.76887126111198, 0.7430947801176663, 10.810731269806416, 7.222264833019222, 5.432905184566362, 33.300470371955804, 27.060059174862975, 31.68272967413342, 3.617647119052595, 9.005524359452249, 2.2577926575011054, 101.30576038106291, 0.6620281112832368, 1.8914274882872846, 13.52993023394524, 24.026126977971707, 6.76887126111198, 13.529432515642831, 1.9002286366625378, 25.26802689122996, 7.889013708074252, 18.91100983924076, 2.065208242731474, 54.9557105059779, 25.26662354437204, 58.11827528485299, 27.067505040890552, 10.769660689585749, 75.86203948262532, 9.007361939698141, 29.051320705234595, 7.194784044019416, 20.292325146966743, 5.432905184566362, 32.335976571011365, 3.244845819498133, 13.541177829949635, 7.208897179009086, 102.10192070134492, 3.4134313195381583, 5.432905184566362, 2.773250505546853, 29.06637968858527, 37.88654442980778, 37.831766629266134, 6.309059687727362, 4.0860522249597935, 36.26677157888563, 16.206185121363312, 25.247249924244972, 2.7587475350410817, 31.695892990478654, 40.124455988311894, 17.982849201017242, 24.03254650058312, 50.41768499410433, 25.262671882308442, 16.850559245711064, 65.41959533537602, 9.462214409552514, 3.580731183528898, 5.427948028977888, 3.619345662177325, 50.56855632775642, 76.01886170132956, 2.755876149460686, 1.4551284690269934, 50.384645458730255]","[14.414463806152344, 1.9048919677734375, 36.077135467529295, 32.44905776977539, 32.474710083007814, 88.50490188598633, 10.846067810058594, 12.532988739013671, 2.7497802734375, 0.9977165222167969, 2.749711608886719, 28.39698257446289, 12.621331024169923, 0.9942985534667969, 13.521865081787109, 11.279193115234374, 21.63497848510742, 6.305078125, 2.7670013427734377, 88.50500564575195, 4.550802612304688, 37.88604888916016, 43.26383819580078, 0.9973884582519531, 14.312516784667968, 10.82928009033203, 9.419319152832031, 86.69159927368165, 5.442897033691406, 2.3077461242675783, 14.31244125366211, 4.550830841064453, 6.79345932006836, 0.7709701538085938, 10.828681945800781, 7.227832794189453, 5.451318359375, 33.12679443359375, 27.041908264160156, 31.570020294189455, 3.6410751342773438, 8.973261260986328, 2.308244323730469, 101.16634368896484, 0.3255287170410156, 1.8974189758300781, 13.521905517578125, 24.344468688964845, 6.79345474243164, 13.521990203857422, 1.8850669860839844, 25.19461441040039, 7.861804962158203, 18.907795715332032, 2.089051055908203, 55.27844161987305, 25.253646087646484, 57.73890380859375, 27.0632080078125, 10.845772552490235, 75.84208145141602, 8.973421478271485, 28.787820434570314, 7.2431793212890625, 20.292886352539064, 5.451637268066406, 32.47472915649414, 3.191816711425781, 13.543385314941407, 7.193462371826172, 101.16630630493164, 3.4187355041503906, 5.451582336425782, 2.750092315673828, 28.78724822998047, 37.85582504272461, 37.88598098754883, 6.335211181640625, 4.108684539794922, 36.077134704589845, 16.227174377441408, 25.194513702392577, 2.754832458496094, 31.56961669921875, 40.60525817871094, 18.00752182006836, 24.344290924072265, 50.51937026977539, 25.19474105834961, 16.917713165283203, 64.9940399169922, 9.477536010742188, 3.658666229248047, 5.413618469238282, 3.633444976806641, 50.51936645507813, 75.84242095947266, 2.754729461669922, 1.4395896911621093, 50.519361114501955]","{""n_estimators"": 300, ""max_depth"": 7}",1.958606398893895,0.5531296121750755,0.7398424312232946,0.819858794371862
