,avg_peak_memory_usage
39,0.27276865641276044
101,0.30116907755533856
146,0.37597020467122394
9,0.16015116373697916
51,0.1528447469075521
143,0.23280207316080728
24,0.16207122802734375
18,0.22575251261393228
98,0.2183074951171875
12,0.11840057373046875
138,1.3114814758300781
57,0.2571309407552083
158,0.673675537109375
122,0.5427894592285156
161,0.902740478515625
93,0.899529774983724
90,0.6945063273111979
171,1.325775146484375
173,0.47518157958984375
45,0.48691685994466144
81,0.7036323547363281
78,0.5456352233886719
72,0.22249730428059897
136,0.996130625406901
33,0.4000345865885417
95,0.15071996053059897
166,0.6919123331705729
133,0.6971460978190104
110,0.40198008219401044
87,0.47387949625651044
128,1.0072123209635417
140,0.16159947713216147
3,0.1367009480794271
63,0.2825469970703125
6,0.13122177124023438
178,1.3042971293131511
116,0.7055676778157552
104,0.3707415262858073
69,0.4907875061035156
155,0.4843037923177083
30,0.3122444152832031
66,0.3752797444661458
54,0.18555323282877603
180,1.7436192830403645
60,0.14747746785481772
21,0.2564989725748698
125,0.7653325398763021
42,0.35575230916341144
84,0.28931935628255206
149,0.46867624918619794
113,0.5482444763183594
