Timestamp,Some (avg10),Some (avg60),Some (avg300),Full (avg10),Full (avg60),Full (avg300),OOM Kills,OOM Failures
2025-05-09 23:32:56.500,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.523,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.549,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.577,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.603,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.630,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.657,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.690,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.715,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.741,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.766,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.791,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.817,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.846,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.872,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.898,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.922,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.951,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:56.977,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.003,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.027,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.054,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.080,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.109,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.135,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.160,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.185,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.213,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.238,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.265,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.289,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.315,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.348,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.377,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.409,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.436,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.469,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.503,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.534,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.564,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.595,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.628,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.661,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.690,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.724,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.758,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.789,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.820,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.855,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.885,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.919,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.948,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:57.977,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.011,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.041,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.073,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.102,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.135,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.166,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.196,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.227,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.259,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.293,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.326,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.360,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.388,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.417,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.450,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.482,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.511,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.543,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.570,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.597,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.626,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.653,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.679,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.728,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.747,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.771,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.796,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.822,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.850,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.876,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.902,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.923,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.948,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:58.973,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.002,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.029,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.056,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.081,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.107,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.137,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.161,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.191,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.217,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.244,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.273,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.296,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.325,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.351,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.380,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.411,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.439,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.469,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.498,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.529,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.555,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.584,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.608,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.631,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.658,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.686,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.712,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.737,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.767,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.793,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.815,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.841,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.866,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.891,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.916,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.942,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.971,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:32:59.993,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.021,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.046,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.072,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.097,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.123,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.147,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.173,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.198,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.224,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.250,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.275,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.306,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.331,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.355,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.379,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.405,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.429,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.455,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:33:00.485,0.00,0.00,0.00,0.00,0.00,0.00,0,0
