Timestamp,Some (avg10),Some (avg60),Some (avg300),Full (avg10),Full (avg60),Full (avg300),OOM Kills,OOM Failures
2025-05-09 23:31:57.119,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.151,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.179,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.212,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.240,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.267,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.291,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.318,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.352,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.380,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.405,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.432,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.455,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.481,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.505,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.534,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.562,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.588,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.615,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.641,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.666,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.690,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.718,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.748,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.773,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.803,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.830,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.860,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.889,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.912,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.939,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.966,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:57.990,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:58.018,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:58.041,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:58.066,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:58.092,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:58.115,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:58.141,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:58.166,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:58.189,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2025-05-09 23:31:58.211,0.00,0.00,0.00,0.00,0.00,0.00,0,0
