,avg_peak_memory_usage
1,0.11447372436523437
4,0.12197341918945312
7,0.12960891723632811
10,0.1371307373046875
13,0.1441802978515625
16,0.15199127197265624
19,0.1594635009765625
22,0.16664352416992187
25,0.1219024658203125
28,0.1370697021484375
31,0.15188446044921874
34,0.16658859252929686
37,0.18170700073242188
40,0.19640884399414063
43,0.21155471801757814
46,0.22635345458984374
49,0.1293914794921875
52,0.15175018310546876
55,0.17420196533203125
58,0.19635009765625
61,0.21863327026367188
64,0.24112777709960936
67,0.26345138549804686
70,0.28605194091796876
73,0.13705368041992189
76,0.16650314331054689
79,0.1964111328125
82,0.2262176513671875
85,0.256072998046875
88,0.2860565185546875
91,0.31595840454101565
94,0.34549713134765625
97,0.1442108154296875
100,0.18152999877929688
103,0.21886444091796875
106,0.25614395141601565
109,0.2931938171386719
112,0.33074188232421875
115,0.36803512573242186
118,0.40517578125
121,0.15181427001953124
124,0.19653091430664063
127,0.24099502563476563
130,0.28593292236328127
133,0.33064422607421873
136,0.3752922058105469
139,0.41995391845703123
142,0.4648933410644531
145,0.15926742553710938
148,0.211492919921875
151,0.2633964538574219
154,0.31578521728515624
157,0.3679618835449219
160,0.42005233764648436
163,0.4720649719238281
166,0.5245895385742188
169,0.16657485961914062
172,0.22630081176757813
175,0.2860565185546875
178,0.34535980224609375
181,0.405181884765625
184,0.46487274169921877
187,0.52457275390625
190,0.5841156005859375
193,0.121917724609375
196,0.1369232177734375
199,0.15189895629882813
202,0.16651840209960939
205,0.18166961669921874
208,0.19644393920898437
211,0.2115814208984375
214,0.22636566162109376
217,0.13701019287109376
220,0.16658554077148438
223,0.19637298583984375
226,0.22623138427734374
229,0.2562774658203125
232,0.2860740661621094
235,0.31597137451171875
238,0.34544830322265624
241,0.151812744140625
244,0.19659347534179689
247,0.24111404418945312
250,0.2860908508300781
253,0.33045501708984376
256,0.3752891540527344
259,0.4200653076171875
262,0.4648887634277344
265,0.16683502197265626
268,0.22613983154296874
271,0.2859321594238281
274,0.34540634155273436
277,0.40529327392578124
280,0.4649169921875
283,0.5245697021484375
286,0.5840065002441406
289,0.18166427612304686
292,0.2561820983886719
295,0.3305931091308594
298,0.40512771606445314
301,0.47957916259765626
304,0.5540992736816406
307,0.6286834716796875
310,0.7030616760253906
313,0.19641647338867188
316,0.28589630126953125
319,0.3751106262207031
322,0.4648139953613281
325,0.5542022705078125
328,0.6437553405761719
331,0.732958984375
334,0.8225395202636718
337,0.21157913208007811
340,0.31587982177734375
343,0.420123291015625
346,0.524346923828125
349,0.6286308288574218
352,0.7330848693847656
355,0.837200927734375
358,0.9416069030761719
361,0.2263031005859375
364,0.3455192565917969
367,0.46486892700195315
370,0.5840309143066407
373,0.7028076171875
376,0.822515869140625
379,0.9415977478027344
382,1.060796356201172
385,0.12953948974609375
388,0.15194625854492189
391,0.17401123046875
394,0.19655227661132812
397,0.21872940063476562
400,0.2411346435546875
403,0.26348037719726564
406,0.2860443115234375
409,0.15188827514648437
412,0.19652786254882812
415,0.2409881591796875
418,0.28599700927734373
421,0.3305015563964844
424,0.37527008056640626
427,0.42003860473632815
430,0.46486434936523435
433,0.17415924072265626
436,0.24091110229492188
439,0.3082740783691406
442,0.3752754211425781
445,0.442462158203125
448,0.5095420837402344
451,0.5764549255371094
454,0.6436958312988281
457,0.19645614624023439
460,0.28604583740234374
463,0.3752754211425781
466,0.46475372314453123
469,0.5541191101074219
472,0.6437164306640625
475,0.7329315185546875
478,0.8225364685058594
481,0.21848983764648439
484,0.3305213928222656
487,0.44239044189453125
490,0.5541130065917969
493,0.6659103393554687
496,0.7778785705566407
499,0.8894371032714844
502,1.0013313293457031
505,0.24089813232421875
508,0.37529296875
511,0.5094230651855469
514,0.6435012817382812
517,0.7777450561523438
520,0.9116615295410156
523,1.046015167236328
526,1.1801673889160156
529,0.26332778930664064
532,0.41993865966796873
535,0.5763076782226563
538,0.7328125
541,0.8893989562988281
544,1.0459091186523437
547,1.2024131774902345
550,1.3589485168457032
553,0.2859954833984375
556,0.46474151611328124
559,0.6436981201171875
562,0.8224029541015625
565,1.0012283325195312
568,1.1800796508789062
571,1.358942413330078
574,1.5377601623535155
577,0.13702011108398438
580,0.16662368774414063
583,0.19633941650390624
586,0.22635269165039062
589,0.25626220703125
592,0.28604965209960936
595,0.315985107421875
598,0.3456443786621094
601,0.16643218994140624
604,0.22627105712890624
607,0.28595733642578125
610,0.34543304443359374
613,0.40518646240234374
616,0.4648582458496094
619,0.5245735168457031
622,0.5841560363769531
