,inlines,xlines,samples,volume,inlines_x_xlines,inlines_x_samples,xlines_x_samples,diagonal_length,surface_area,log_inlines,log_xlines,log_samples,log_volume,inline_to_xlines_ratio,inlines_to_samples_ratio,xlines_to_samples_ratio,inlines_to_total_ratio,xlines_to_total_ratio,samples_to_total_ratio,mean_inlines_xlines,std_inlines_xlines,quadratic_interaction,log_volume_x_log_diagonal
961,600,100,100,6000000,60000,60000,10000,616.4414002968977,260000,9.228818690495881,6.643856189774724,6.643856189774724,22.516531070045332,6.0,6.0,1.0,0.75,0.125,0.125,350.0,229.13936293319264,36000000000000,144.6818655100489
988,600,200,200,24000000,120000,120000,40000,663.32495807108,560000,9.228818690495881,7.643856189774724,7.643856189774724,24.516531070045332,3.0,3.0,1.0,0.6,0.2,0.2,400.0,229.13936293319264,576000000000000,159.32733154458433
520,300,600,600,108000000,180000,180000,360000,900.0,1440000,8.228818690495881,9.228818690495881,9.228818690495881,26.686456071487644,0.5,0.5,1.0,0.2,0.4,0.4,450.0,229.13936293319264,11664000000000000,181.56144418930012
817,500,300,100,15000000,150000,50000,30000,591.6079783099616,460000,8.965784284662087,8.228818690495881,6.643856189774724,23.838459164932694,1.6666666666666667,5.0,3.0,0.5555555555555556,0.3333333333333333,0.1111111111111111,400.0,229.13936293319264,225000000000000,152.19743155047576
1458,800,600,400,192000000,480000,320000,240000,1077.0329614269008,2080000,9.643856189774725,9.228818690495881,8.643856189774725,27.516531070045332,1.3333333333333333,2.0,1.5,0.4444444444444444,0.3333333333333333,0.2222222222222222,700.0,229.13936293319264,36864000000000000,192.1450012039835
547,300,700,700,147000000,210000,210000,490000,1034.40804327886,1820000,8.228818690495881,9.451211111832329,9.451211111832329,27.13124091416054,0.42857142857142855,0.42857142857142855,1.0,0.17647058823529413,0.4117647058823529,0.4117647058823529,500.0,229.13936293319264,21609000000000000,188.36002028656327
805,500,200,500,50000000,100000,250000,100000,734.8469228349534,900000,8.965784284662087,7.643856189774724,8.965784284662087,25.575424759098897,2.5,1.0,0.4,0.4166666666666667,0.16666666666666666,0.4166666666666667,350.0,229.13936293319264,2500000000000000,168.82394435395813
1054,600,400,800,192000000,240000,480000,320000,1077.0329614269008,2080000,9.228818690495881,8.643856189774725,9.643856189774725,27.516531070045332,1.5,0.75,0.5,0.3333333333333333,0.2222222222222222,0.4444444444444444,500.0,229.13936293319264,36864000000000000,192.1450012039835
352,200,700,600,84000000,140000,120000,420000,943.3981132056604,1360000,7.643856189774724,9.451211111832329,9.228818690495881,26.323885992102934,0.2857142857142857,0.3333333333333333,1.1666666666666667,0.13333333333333333,0.4666666666666667,0.4,450.0,229.13936293319264,7056000000000000,180.33303946368733
1173,700,100,800,56000000,70000,560000,80000,1067.707825203131,1420000,9.451211111832329,6.643856189774724,9.643856189774725,25.73892349138178,7.0,0.875,0.125,0.4375,0.0625,0.5,400.0,229.13936293319264,3136000000000000,179.5085432621431
997,600,200,500,60000000,120000,300000,100000,806.2257748298549,1040000,9.228818690495881,7.643856189774724,8.965784284662087,25.838459164932694,3.0,1.2,0.4,0.46153846153846156,0.15384615384615385,0.38461538461538464,400.0,229.13936293319264,3600000000000000,172.9523981090547
1344,800,100,600,48000000,80000,480000,60000,1004.987562112089,1240000,9.643856189774725,6.643856189774724,9.228818690495881,25.516531070045332,8.0,1.3333333333333333,0.16666666666666666,0.5333333333333333,0.06666666666666667,0.4,450.0,229.13936293319264,2304000000000000,176.41427843741042
1311,700,800,300,168000000,560000,210000,240000,1104.536101718726,2020000,9.451211111832329,9.643856189774725,8.228818690495881,27.323885992102934,0.875,2.3333333333333335,2.6666666666666665,0.3888888888888889,0.4444444444444444,0.16666666666666666,750.0,229.13936293319264,28224000000000000,191.48813349361868
1066,600,500,400,120000000,300000,240000,200000,877.4964387392122,1480000,9.228818690495881,8.965784284662087,8.643856189774725,26.838459164932694,1.2,1.5,1.25,0.4,0.3333333333333333,0.26666666666666666,550.0,229.13936293319264,14400000000000000,181.916762050059
259,200,300,700,42000000,60000,140000,210000,787.4007874011811,820000,7.643856189774724,8.228818690495881,9.451211111832329,25.323885992102934,0.6666666666666666,0.2857142857142857,0.42857142857142855,0.16666666666666666,0.25,0.5833333333333334,250.0,229.13936293319264,1764000000000000,168.910486046836
1294,700,700,500,245000000,490000,350000,350000,1109.0536506409417,2380000,9.451211111832329,9.451211111832329,8.965784284662087,27.868206508326743,1.0,1.4,1.4,0.3684210526315789,0.3684210526315789,0.2631578947368421,700.0,229.13936293319264,60025000000000000,195.41642402878156
226,200,200,400,16000000,40000,80000,80000,489.89794855663564,400000,7.643856189774724,7.643856189774724,8.643856189774725,23.931568569324174,1.0,0.5,0.5,0.25,0.25,0.5,200.0,229.13936293319264,256000000000000,148.28565297846086
