Tool,Orig Tool Name,TraceQ Tool Name,Mean Orig (MB),Mean TraceQ (MB),Δ Mean (MB),Δ Mean (%),Max Orig (MB),Max TraceQ (MB),Δ Max (MB),Δ Max (%)
kernel,kernel,traceq_kernel,3301.308627717391,2385.1204664963943,-916.1881612209968,-27.75227234220972,5626.45234375,5811.94140625,185.48906249999982,3.2967321354111454
psutil,psutil,traceq_psutil,3672.6994791666666,2396.7443027712266,-1275.95517639544,-34.74161672179488,5840.671875,5761.5328125,-79.13906250000036,-1.3549650484346094
resource,resource,traceq_resource,3721.567125,3608.8813368055553,-112.68578819444474,-3.0279122855924503,5887.89453125,5867.540364583333,-20.35416666666697,-0.3456951641819878
tracemalloc,tracemalloc,traceq_tracemalloc,2801.5237584431966,3631.736327057964,830.2125686147674,29.63432189759888,4943.856945037842,5767.850218963623,823.9932739257811,16.66701288257996
