num_features,selected_features,model_name,rmse,mae,r2,accuracy,score,residuals,y_pred,y_test
25,"['inline_to_xlines_ratio', 'volume', 'xlines_to_total_ratio', 'std_inlines_xlines', 'xlines_x_samples', 'inlines_to_samples_ratio', 'inlines', 'samples_to_total_ratio', 'log_xlines', 'samples', 'log_volume', 'inlines_x_xlines', 'surface_area', 'xlines', 'inlines_x_samples', 'quadratic_interaction', 'xlines_to_samples_ratio', 'mean_inlines_xlines', 'diagonal_length', 'log_inlines', 'log_samples', 'inlines_to_total_ratio', 'log_volume_x_log_diagonal']",xgboost,0.0026334917429566853,0.0019038843386100664,0.9999961843756534,1.0,2.9835391231131214,"[-0.0014592409133911133, -0.0007356802622475733, -0.0017977158228557055, -0.00569031635920203, -0.004651645819346073, -0.0010946393013000488, 0.00047246615091955935, 0.00031169255574514665, -0.0037267009417215613, 0.0009801785151164477, 2.245108286547115e-05]","[1.8871594667434692, 3.647351026535034, 1.8860305547714233, 0.9871979355812073, 0.9861173033714294, 0.9866636395454407, 0.9859840869903564, 5.439764499664307, 0.9870958924293518, 1.4348782300949097, 1.8867675065994263]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]"
25,"['inline_to_xlines_ratio', 'volume', 'xlines_to_total_ratio', 'std_inlines_xlines', 'xlines_x_samples', 'inlines_to_samples_ratio', 'inlines', 'samples_to_total_ratio', 'log_xlines', 'samples', 'log_volume', 'inlines_x_xlines', 'surface_area', 'xlines', 'inlines_x_samples', 'quadratic_interaction', 'xlines_to_samples_ratio', 'mean_inlines_xlines', 'diagonal_length', 'log_inlines', 'log_samples', 'inlines_to_total_ratio', 'log_volume_x_log_diagonal']",xgboost,0.0026334917429566853,0.0019038843386100664,0.9999961843756534,1.0,2.9835391231131214,"[-0.0014592409133911133, -0.0007356802622475733, -0.0017977158228557055, -0.00569031635920203, -0.004651645819346073, -0.0010946393013000488, 0.00047246615091955935, 0.00031169255574514665, -0.0037267009417215613, 0.0009801785151164477, 2.245108286547115e-05]","[1.8871594667434692, 3.647351026535034, 1.8860305547714233, 0.9871979355812073, 0.9861173033714294, 0.9866636395454407, 0.9859840869903564, 5.439764499664307, 0.9870958924293518, 1.4348782300949097, 1.8867675065994263]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]"
25,"['inline_to_xlines_ratio', 'volume', 'xlines_to_total_ratio', 'std_inlines_xlines', 'xlines_x_samples', 'inlines_to_samples_ratio', 'inlines', 'samples_to_total_ratio', 'log_xlines', 'samples', 'log_volume', 'inlines_x_xlines', 'surface_area', 'xlines', 'inlines_x_samples', 'quadratic_interaction', 'xlines_to_samples_ratio', 'mean_inlines_xlines', 'diagonal_length', 'log_inlines', 'log_samples', 'inlines_to_total_ratio', 'log_volume_x_log_diagonal']",xgboost,0.0026334917429566853,0.0019038843386100664,0.9999961843756534,1.0,2.9835391231131214,"[-0.0014592409133911133, -0.0007356802622475733, -0.0017977158228557055, -0.00569031635920203, -0.004651645819346073, -0.0010946393013000488, 0.00047246615091955935, 0.00031169255574514665, -0.0037267009417215613, 0.0009801785151164477, 2.245108286547115e-05]","[1.8871594667434692, 3.647351026535034, 1.8860305547714233, 0.9871979355812073, 0.9861173033714294, 0.9866636395454407, 0.9859840869903564, 5.439764499664307, 0.9870958924293518, 1.4348782300949097, 1.8867675065994263]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]"
24,"['inline_to_xlines_ratio', 'volume', 'xlines_to_total_ratio', 'xlines_x_samples', 'inlines_to_samples_ratio', 'inlines', 'samples_to_total_ratio', 'log_xlines', 'samples', 'log_volume', 'inlines_x_xlines', 'surface_area', 'xlines', 'inlines_x_samples', 'quadratic_interaction', 'xlines_to_samples_ratio', 'mean_inlines_xlines', 'diagonal_length', 'log_inlines', 'log_samples', 'inlines_to_total_ratio', 'log_volume_x_log_diagonal']",xgboost,0.0026334917429566853,0.0019038843386100664,0.9999961843756534,1.0,2.9835391231131214,"[-0.0014592409133911133, -0.0007356802622475733, -0.0017977158228557055, -0.00569031635920203, -0.004651645819346073, -0.0010946393013000488, 0.00047246615091955935, 0.00031169255574514665, -0.0037267009417215613, 0.0009801785151164477, 2.245108286547115e-05]","[1.8871594667434692, 3.647351026535034, 1.8860305547714233, 0.9871979355812073, 0.9861173033714294, 0.9866636395454407, 0.9859840869903564, 5.439764499664307, 0.9870958924293518, 1.4348782300949097, 1.8867675065994263]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]"
23,"['inline_to_xlines_ratio', 'volume', 'xlines_to_total_ratio', 'xlines_x_samples', 'inlines_to_samples_ratio', 'inlines', 'log_xlines', 'samples', 'log_volume', 'inlines_x_xlines', 'surface_area', 'xlines', 'inlines_x_samples', 'quadratic_interaction', 'xlines_to_samples_ratio', 'mean_inlines_xlines', 'diagonal_length', 'log_inlines', 'log_samples', 'inlines_to_total_ratio', 'log_volume_x_log_diagonal']",xgboost,0.0026334917429566853,0.0019038843386100664,0.9999961843756534,1.0,2.9835391231131214,"[-0.0014592409133911133, -0.0007356802622475733, -0.0017977158228557055, -0.00569031635920203, -0.004651645819346073, -0.0010946393013000488, 0.00047246615091955935, 0.00031169255574514665, -0.0037267009417215613, 0.0009801785151164477, 2.245108286547115e-05]","[1.8871594667434692, 3.647351026535034, 1.8860305547714233, 0.9871979355812073, 0.9861173033714294, 0.9866636395454407, 0.9859840869903564, 5.439764499664307, 0.9870958924293518, 1.4348782300949097, 1.8867675065994263]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]"
22,"['inline_to_xlines_ratio', 'volume', 'xlines_to_total_ratio', 'xlines_x_samples', 'inlines_to_samples_ratio', 'inlines', 'log_xlines', 'samples', 'log_volume', 'inlines_x_xlines', 'surface_area', 'xlines', 'inlines_x_samples', 'quadratic_interaction', 'xlines_to_samples_ratio', 'mean_inlines_xlines', 'diagonal_length', 'log_inlines', 'log_samples', 'log_volume_x_log_diagonal']",xgboost,0.0026012380311629733,0.0018558321577129605,0.9999962772670854,1.0,2.983615674339796,"[-0.001326441764831543, -0.0007192293802895655, -0.0016788641611735766, -0.0057074824968973425, -0.004654983679453495, -0.0010539889335632324, 0.00047121445337927614, 0.00018962224324514665, -0.0035721460978189734, 0.00097898642222094, 6.119410196947506e-05]","[1.8870266675949097, 3.647334575653076, 1.8859117031097412, 0.9872151017189026, 0.9861206412315369, 0.9866229891777039, 0.9859853386878967, 5.439886569976807, 0.9869413375854492, 1.4348794221878052, 1.8867287635803223]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]"
21,"['inline_to_xlines_ratio', 'volume', 'xlines_x_samples', 'inlines_to_samples_ratio', 'inlines', 'log_xlines', 'samples', 'log_volume', 'inlines_x_xlines', 'surface_area', 'xlines', 'inlines_x_samples', 'quadratic_interaction', 'xlines_to_samples_ratio', 'mean_inlines_xlines', 'diagonal_length', 'log_inlines', 'log_samples', 'log_volume_x_log_diagonal']",xgboost,0.0027519265577943958,0.0019396687998915827,0.9999958334617978,1.0,2.983429011444616,"[-0.0011610984802246094, -0.0007738272349038233, -0.0019442240397136157, -0.00595966974894202, -0.00507918993631995, -0.0011614561080932617, 0.0002871553103128699, 0.00025447209676077165, -0.0037406484285990027, 0.0008731285730998462, 0.00010148684183763912]","[1.8868613243103027, 3.6473891735076904, 1.8861770629882812, 0.9874672889709473, 0.9865448474884033, 0.9867304563522339, 0.9861693978309631, 5.439821720123291, 0.9871098399162292, 1.4349852800369263, 1.886688470840454]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]"
20,"['inline_to_xlines_ratio', 'volume', 'xlines_x_samples', 'inlines_to_samples_ratio', 'inlines', 'log_xlines', 'samples', 'log_volume', 'inlines_x_xlines', 'surface_area', 'xlines', 'inlines_x_samples', 'quadratic_interaction', 'mean_inlines_xlines', 'diagonal_length', 'log_inlines', 'log_samples', 'log_volume_x_log_diagonal']",xgboost,0.0027522157117016288,0.0019221341971194768,0.9999958325861682,1.0,2.9834501643124174,"[-0.0011862516403198242, -0.0008367697397866358, -0.002014915148417229, -0.006059686342875126, -0.0049958030382791785, -0.0011935234069824219, 0.0001295010248819617, 0.0002854665120439748, -0.003654936949411991, 0.000771323839823479, 1.5298525492424275e-05]","[1.886886477470398, 3.6474521160125732, 1.8862477540969849, 0.9875673055648804, 0.9864614605903625, 0.986762523651123, 0.986327052116394, 5.439790725708008, 0.9870241284370422, 1.4350870847702026, 1.8867746591567993]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]"
19,"['inline_to_xlines_ratio', 'volume', 'xlines_x_samples', 'inlines', 'log_xlines', 'samples', 'log_volume', 'inlines_x_xlines', 'surface_area', 'xlines', 'inlines_x_samples', 'quadratic_interaction', 'mean_inlines_xlines', 'diagonal_length', 'log_inlines', 'log_samples', 'log_volume_x_log_diagonal']",xgboost,0.0027561155337767554,0.00200200261491713,0.9999958207675547,1.0,2.983350880570326,"[-0.0015486478805541992, -0.0008365313212075343, -0.0021459261576335376, -0.005861500898996952, -0.004954318205515507, -0.0012875199317932129, 0.00020931164423620974, 0.0004752477010088185, -0.0037886897722879675, 0.0008126894632976001, -0.00010164578755689213]","[1.8872488737106323, 3.647451877593994, 1.8863787651062012, 0.9873691201210022, 0.9864199757575989, 0.9868565201759338, 0.9862472414970398, 5.439600944519043, 0.9871578812599182, 1.4350457191467285, 1.8868916034698486]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]"
18,"['volume', 'xlines_x_samples', 'inlines', 'log_xlines', 'samples', 'log_volume', 'inlines_x_xlines', 'surface_area', 'xlines', 'inlines_x_samples', 'quadratic_interaction', 'mean_inlines_xlines', 'diagonal_length', 'log_inlines', 'log_samples', 'log_volume_x_log_diagonal']",xgboost,0.0027771325830922636,0.002024094263712518,0.9999957567861785,1.0,2.9833122030972827,"[-0.0015594959259033203, -0.0005993048350014796, -0.0021045605341594165, -0.0061620275179544715, -0.004953424135843876, -0.001383066177368164, 0.0004314581553140906, 0.0005472501118974904, -0.0034307042757669715, 0.0009612242380778735, -0.00013252099355054447]","[1.8872597217559814, 3.647214651107788, 1.886337399482727, 0.9876696467399597, 0.9864190816879272, 0.9869520664215088, 0.9860250949859619, 5.439528942108154, 0.9867998957633972, 1.4348971843719482, 1.8869224786758423]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]"
