volume,peak_memory_usage_avg,peak_memory_usage_std_dev,peak_memory_usage_min,peak_memory_usage_max,execution_time_avg,execution_time_std_dev,execution_time_min,execution_time_max,n_samples,peak_memory_usage_cv,execution_time_cv,peak_memory_usage_unit,execution_time_unit
1000000,0.3122507731119792,0.00029067726167401783,0.3119163513183594,0.3124427795410156,0.24857894579569498,0.0012577968523780185,0.24753880500793457,0.24997687339782715,3,0.0009309096620547849,0.005059949258179699,gb,s
2000000,0.5366482204861112,0.0014511381717875118,0.5348587036132812,0.538299560546875,0.4990533192952474,0.007539314364358868,0.48969364166259766,0.5126762390136719,9,0.002704077114935795,0.015107232179130136,gb,s
3000000,0.759474860297309,0.0014951737171565488,0.7577743530273438,0.7612075805664062,0.7558142609066434,0.014850684115773515,0.7347316741943359,0.7736485004425049,9,0.001968694153446025,0.01964858945365658,gb,s
4000000,0.984114752875434,0.0023646589693624076,0.9804344177246094,0.9876480102539062,1.0182036691241794,0.0279501143510097,0.9836440086364746,1.098931074142456,18,0.002402828493784117,0.027450416059737182,gb,s
6000000,1.4357265896267362,0.001104342273576435,1.4343719482421875,1.4374465942382812,1.542636063363817,0.05104805734259934,1.4860742092132568,1.705430269241333,18,0.0007691870315388843,0.033091445581328996,gb,s
8000000,1.8867848714192708,0.0030266177681058733,1.8842239379882812,1.8952407836914062,2.0652978874388195,0.0712164049016806,1.9996898174285889,2.3232085704803467,21,0.0016041138626626795,0.03448238887708166,gb,s
9000000,2.077986823187934,0.0011775893500239776,2.0753326416015625,2.079334259033203,2.3113591141170926,0.032324745510033934,2.266780138015747,2.3526906967163086,9,0.0005666972171735836,0.013985167996008938,gb,s
12000000,2.7476717631022134,0.005880473832502898,2.742633819580078,2.757099151611328,3.1374517105243824,0.08111813007424933,3.0339908599853516,3.439967155456543,27,0.002140166053118239,0.025854782020116426,gb,s
16000000,3.638660430908203,0.009050306164975456,3.6281204223632812,3.6492233276367188,4.240465588039822,0.0708356529292733,4.115247964859009,4.380816459655762,18,0.002487263193921208,0.01670468760059375,gb,s
18000000,4.097292582194011,0.0011738595822438987,4.095550537109375,4.098869323730469,4.8134388658735485,0.07785619200851986,4.681159973144531,4.942320346832275,9,0.00028649640187895065,0.016174754510856433,gb,s
24000000,5.439842859903972,0.0013949188667529316,5.436969757080078,5.441959381103516,6.7992196215523615,0.2273273238825791,6.5728514194488525,7.436732292175293,18,0.0002564263164722291,0.033434325780857324,gb,s
27000000,6.1168874104817705,0.0011473638750513003,6.115570068359375,6.117668151855469,7.748145182927449,0.17969807017854955,7.586618185043335,7.941705703735352,3,0.00018757315576631368,0.023192398430336974,gb,s
