model_name,score,accuracy,rmse,mae,r2,residuals,y_pred,y_test,accuracy_weight,rmse_weight,mae_weight,r2_weight
linear_regression,2.9532336608083405,1.0,0.01009007713524294,0.008242364773145468,0.9999439867642163,"[0.013312463368104321, -0.0013095655685191332, 0.013018009919623541, -0.01528701119446263, -0.012241820427588146, -0.0014946899029679717, -6.869954398369682e-05, 0.0016019987068300878, -0.012201551400980226, 0.00608700376464677, 0.014043198706893634]","[1.8723877624619738, 3.6479249118413057, 1.871214829028944, 0.9967946304164679, 0.9937074779796715, 0.9870636901471086, 0.9865252526852597, 5.438474193513222, 0.9955707428886105, 1.4297714048453793, 1.872746758975398]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]",1.9948711689730505,1.0764640809758483,1.4673126876134992,0.9813731937413223
polynomial_regression,1.694572861721894,0.6363636363636364,0.21703444937335856,0.20254801319868002,0.974084533137677,"[0.2895220134173839, 0.028040999411974354, 0.27951481343200757, -0.1947729398809851, -0.19522390146627278, -0.18605346358254904, -0.18543857217169657, -0.2780438425657108, -0.1919801987185702, 0.10912750092649626, 0.2903098996118336]","[1.5961782124126942, 3.6185743468608123, 1.60471802551656, 1.1762805591029903, 1.1766895590183561, 1.1716224638266897, 1.1718951253129726, 5.718120034785763, 1.1753493902062004, 1.3267309076835299, 1.5964800580704581]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]",1.9948711689730505,1.0764640809758483,1.4673126876134992,0.9813731937413223
decision_tree,2.508153456593616,1.0,0.2370885095795908,0.12439323194099196,0.9690740747153905,"[-4.1961669921875e-05, -0.0017954508463540186, -0.0015118916829428564, -0.45484797159830725, -0.4535980224609374, -0.000751495361328125, 0.00013605753580725466, -0.0004679361979169627, -0.45351409912109364, 0.0008036295572917407, 0.0008570353190104907]","[1.8857421875, 3.6484107971191406, 1.8857447306315105, 1.4363555908203125, 1.4350636800130208, 0.9863204956054688, 0.9863204956054688, 5.440544128417969, 1.4368832906087239, 1.4350547790527344, 1.8859329223632812]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]",1.9948711689730505,1.0764640809758483,1.4673126876134992,0.9813731937413223
random_forest,2.350726458172944,0.8181818181818182,0.11273950824754322,0.09172648343172886,0.9930071540407888,"[-0.019954210917154658, -0.09954579671223796, -0.025903104146320466, -0.18982561747233062, -0.1759652837117508, 0.11005803426106753, 0.12682313283284496, -0.04068714141845575, -0.1743752415974923, 0.03914077758789114, -0.006712977091471339]","[1.9056544367472328, 3.7461611429850246, 1.910135943094888, 1.1713332366943359, 1.1574309412638342, 0.8755109659830731, 0.859633420308431, 5.4807633336385075, 1.1577444330851225, 1.396717631022135, 1.893502934773763]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]",1.9948711689730505,1.0764640809758483,1.4673126876134992,0.9813731937413223
gradient_boosting,2.7965277203612073,1.0,0.09430557962513131,0.05002219431707288,0.9951069859070752,"[-0.001550073126958429, -0.0012122847281976767, -0.001707936881158778, -0.18192170057015378, -0.18055684866897515, -0.0015668873535370498, 0.00025724307611740826, 0.0005598093168890372, -0.17922472581790483, 0.0011043560415355813, -0.0005822719063739434]","[1.8872502989570366, 3.6478276310009843, 1.8859407758297264, 1.163429319792159, 1.1620225062210585, 0.9871358875976777, 0.9861993100651586, 5.439516382903163, 1.162593917305535, 1.4347540525684905, 1.8873722295886657]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]",1.9948711689730505,1.0764640809758483,1.4673126876134992,0.9813731937413223
xgboost,2.970612165248291,1.0,0.0026334917429566853,0.0019038843386100664,0.9999961843756534,"[-0.0014592409133911133, -0.0007356802622475733, -0.0017977158228557055, -0.00569031635920203, -0.004651645819346073, -0.0010946393013000488, 0.00047246615091955935, 0.00031169255574514665, -0.0037267009417215613, 0.0009801785151164477, 2.245108286547115e-05]","[1.8871594667434692, 3.647351026535034, 1.8860305547714233, 0.9871979355812073, 0.9861173033714294, 0.9866636395454407, 0.9859840869903564, 5.439764499664307, 0.9870958924293518, 1.4348782300949097, 1.8867675065994263]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]",1.9948711689730505,1.0764640809758483,1.4673126876134992,0.9813731937413223
support_vector_regression,1.9885460784019604,0.7272727272727273,0.17904064647969045,0.15920532554741162,0.9823638020835815,"[0.11848557376468305, -0.0820733413258159, 0.11701818688317256, -0.24459542900273823, -0.2446373906726601, -0.24053404798060285, -0.23964649508346747, 0.09979403776029727, -0.24273385673711323, -0.002164916194080435, 0.11957530561689667]","[1.767214652065395, 3.7286886875986025, 1.767214652065395, 1.2261030482247435, 1.2261030482247435, 1.2261030482247435, 1.2261030482247435, 5.3402821544597545, 1.2261030482247435, 1.4380233248041066, 1.767214652065395]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]",1.9948711689730505,1.0764640809758483,1.4673126876134992,0.9813731937413223
elastic_net,2.9523022827763126,1.0,0.011475284121567113,0.00784989455685606,0.99992755163586,"[0.021112978748996536, -0.0041849533680218265, 0.01907636019842851, 0.0006989562373614921, 0.0007241377468959476, 0.0007423062814586601, 0.0016746212982314823, 0.002233703711293167, 0.0028675253973340364, 0.011124775371691431, 0.02190852176570357]","[1.8645872470810816, 3.6508002996408084, 1.8651564787501391, 0.9808086629846438, 0.9807415198051874, 0.984826693962682, 0.9847819318430445, 5.437842488508759, 0.9805016660902962, 1.4247336332383347, 1.8648814359165882]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]",1.9948711689730505,1.0764640809758483,1.4673126876134992,0.9813731937413223
