num_samples,model_name,rmse,mae,r2,accuracy,score,residuals,y_pred,y_test
54,decision_tree,0.2370865533175836,0.12429624615293561,0.9690745850645692,0.7272727272727273,2.0478043905184236,"[-4.450480143236568e-05, -0.0003560384114580373, -0.0017000834147136157, -0.45484797159830725, -0.453589121500651, -0.000751495361328125, 0.00013605753580725466, -0.0004679361979169627, -0.45351409912109364, 0.0008036295572917407, 0.0010477701822917407]","[1.8857447306315105, 3.6469713846842446, 1.8859329223632812, 1.4363555908203125, 1.4350547790527344, 0.9863204956054688, 0.9863204956054688, 5.440544128417969, 1.4368832906087239, 1.4350547790527344, 1.8857421875]","[1.8857002258300781, 3.6466153462727866, 1.8842328389485676, 0.9815076192220052, 0.9814656575520834, 0.9855690002441406, 0.986456553141276, 5.440076192220052, 0.9833691914876302, 1.4358584086100261, 1.8867899576822917]"
44,decision_tree,0.0008706969069878616,0.0005315144856771203,0.999999717167027,1.0,2.9720705023328637,"[0.0013020833333332593, 2.5431315104906815e-06, -4.1961669921875e-05, -0.00013605753580725466, -4.1961669921875e-05, 6.739298502611568e-05, 5.5948893229462726e-05, 0.00186920166015625, 0.0012664794921875]","[0.7588284810384115, 1.8857421875, 1.8857421875, 0.986456553141276, 0.9815076192220052, 0.5369860331217448, 5.440076192220052, 3.6287638346354165, 4.096871693929036]","[0.7601305643717448, 1.8857447306315105, 1.8857002258300781, 0.9863204956054688, 0.9814656575520834, 0.5370534261067709, 5.440132141113281, 3.6306330362955728, 4.098138173421224]"
36,decision_tree,0.26459302071928026,0.14148187637329104,0.9451195166447872,0.625,1.7778591238351908,"[-0.22473526000976557, 5.086263020981363e-06, -0.0030873616536457593, 0.22177505493164062, 0.6785062154134116, -0.0006650288899738843, -0.0012118021647136157, 0.00186920166015625]","[0.5369860331217448, 2.743330637613932, 0.986456553141276, 0.5370534261067709, 2.0777155558268228, 0.7601305643717448, 1.4363555908203125, 3.6287638346354165]","[0.3122507731119792, 2.743335723876953, 0.9833691914876302, 0.7588284810384115, 2.7562217712402344, 0.7594655354817709, 1.4351437886555989, 3.6306330362955728]"
29,decision_tree,0.36890844244175464,0.15111711290147567,0.9250604085127874,0.8333333333333334,2.0471946197690776,"[-0.0010808308919270093, -4.1961669921875e-05, 8.900960286606363e-06, 0.0006650288899738843, 0.001270294189453125, 0.9036356608072915]","[0.5369860331217448, 1.8857421875, 2.743335723876953, 0.7594655354817709, 4.0968678792317705, 2.743335723876953]","[0.5359052022298177, 1.8857002258300781, 2.7433446248372397, 0.7601305643717448, 4.098138173421224, 3.6469713846842446]"
24,decision_tree,0.865855558328066,0.5798227945963541,0.8043795487465639,0.4,0.22477933594181188,"[-0.451166788736979, -1.7568880716959638, 0.676870981852213, -0.0013020833333332593, 0.01288604736328125]","[4.098138173421224, 2.7433446248372397, 5.440016428629558, 0.7601305643717448, 2.743335723876953]","[3.6469713846842446, 0.986456553141276, 6.1168874104817705, 0.7588284810384115, 2.7562217712402344]"
20,decision_tree,0.3384359036276077,0.16960557301839185,0.9827601650590702,0.75,1.9612432340985277,"[0.676870981852213, -6.739298502611568e-05, -0.0006650288899738843, 0.0008188883463544627]","[5.440016428629558, 0.5370534261067709, 0.7601305643717448, 5.439725240071614]","[6.1168874104817705, 0.5369860331217448, 0.7594655354817709, 5.440544128417969]"
16,decision_tree,0.7513340410666174,0.5049136479695635,0.878311387415927,0.5,0.6754175079540448,"[0.676870981852213, 0.00011571248372366227, -1.3415870666503906, -0.0010808308919270093]","[5.440016428629558, 5.440016428629558, 5.439725240071614, 0.5369860331217448]","[6.1168874104817705, 5.440132141113281, 4.098138173421224, 0.5359052022298177]"
13,decision_tree,0.4309614948584078,0.3739674886067707,0.9720908167851423,0.0,0.22118907779968144,"[0.22365442911783856, -0.2213770548502605, 0.676870981852213]","[0.3122507731119792, 0.9815076192220052, 5.440016428629558]","[0.5359052022298177, 0.7601305643717448, 6.1168874104817705]"
11,decision_tree,1.1041783249179493,0.8917079501681856,0.7683639359017291,0.0,-1.0768110663123571,"[1.774714152018229, 0.6767552693684893, 0.22365442911783856]","[0.9815076192220052, 5.440132141113281, 0.3122507731119792]","[2.7562217712402344, 6.1168874104817705, 0.5359052022298177]"
