,avg_peak_memory_usage
960,0.2561676025390625
987,0.7276481628417969
519,2.919159698486328
816,0.49038162231445315
1457,5.109691619873047
546,3.9391937255859375
804,1.4088020324707031
1053,5.109140014648437
351,2.292645263671875
1172,1.564471435546875
996,1.6692855834960938
1343,1.357213592529297
1310,4.484506225585937
1065,3.231465148925781
258,1.1990020751953125
1293,6.489900207519531
225,0.5171043395996093
1331,0.5205718994140625
45,0.5199394226074219
630,1.0436981201171875
540,2.8424949645996094
1182,1.5657394409179688
57,0.4120918273925781
1481,5.944485473632812
1020,2.451671600341797
168,0.31121063232421875
834,2.842767333984375
1433,4.274250793457031
1285,2.6603233337402346
462,1.0423271179199218
75,0.30872039794921874
795,0.6240921020507812
126,0.5699867248535156
936,1.1450302124023437
1225,2.291767120361328
1346,1.5631126403808593
852,2.7127052307128907
378,3.024976348876953
1002,2.293656921386719
93,0.9352996826171875
339,0.8285606384277344
765,6.7763816833496096
654,1.3529693603515625
1236,5.215322113037109
171,0.5163459777832031
1179,1.1961685180664063
72,0.20528564453125
51,0.25530166625976564
576,0.204083251953125
198,0.2593803405761719
858,3.755107879638672
1252,4.668170166015625
282,1.5637031555175782
933,7.3988197326660154
1213,3.9374237060546875
69,0.725079345703125
813,2.190995788574219
897,3.2309425354003904
1113,4.483284759521484
15,0.2565773010253906
348,1.9295974731445313
135,1.0394142150878907
555,1.3515403747558594
48,0.18253402709960936
1406,2.605462646484375
1095,5.736023712158203
9,0.20627593994140625
702,1.9832557678222655
1146,8.86352767944336
180,1.1422393798828125
330,2.295262908935547
1216,4.485447692871094
1246,2.842137908935547
87,0.7288467407226562
822,1.2780731201171875
906,5.579414367675781
78,0.4128509521484375
21,0.312579345703125
543,3.3903152465820314
1376,0.7285514831542969
324,1.6686744689941406
111,0.8828865051269531
471,1.9819656372070313
1418,5.942725372314453
354,2.659137725830078
342,1.194403839111328
798,0.8841316223144531
525,3.8600624084472654
1288,3.9368019104003906
1047,3.8573883056640623
432,0.3344108581542969
1149,10.113240814208984
1276,6.668643188476563
633,1.35550537109375
963,0.41402435302734375
1454,3.8610130310058595
1352,0.5156990051269531
423,1.0418167114257812
1122,7.762744140625
201,0.30965499877929686
1092,4.7966361999511715
504,0.5700164794921875
1499,3.440221405029297
1316,7.403067016601563
684,2.710833740234375
579,0.31049270629882814
243,0.4165214538574219
327,1.9833267211914063
1268,3.3890586853027345
435,0.5738594055175781
276,1.1423255920410156
456,0.4120674133300781
1412,4.274658203125
744,0.9342384338378906
249,0.7315460205078125
309,2.1904006958007813
495,2.450499725341797
489,1.6680511474609374
