inlines,xlines,samples,volume,inlines_x_xlines,inlines_x_samples,xlines_x_samples,diagonal_length,surface_area,log_inlines,log_xlines,log_samples,log_volume,inline_to_xlines_ratio,inlines_to_samples_ratio,xlines_to_samples_ratio,inlines_to_total_ratio,xlines_to_total_ratio,samples_to_total_ratio,mean_inlines_xlines,std_inlines_xlines,quadratic_interaction,log_volume_x_log_diagonal
100,100,100,1000000,10000,10000,10000,173.20508075688772,60000,6.643856189774724,6.643856189774724,6.643856189774724,19.931568569324174,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,100.0,229.13936293319264,1000000000000,102.85154246185313
100,100,200,2000000,10000,20000,20000,244.94897427831782,100000,6.643856189774724,6.643856189774724,7.643856189774724,20.931568569324174,1.0,0.5,0.5,0.25,0.25,0.5,100.0,229.13936293319264,4000000000000,115.23088243076079
100,100,300,3000000,10000,30000,30000,331.66247903554,140000,6.643856189774724,6.643856189774724,8.228818690495881,21.516531070045332,1.0,0.3333333333333333,0.3333333333333333,0.2,0.2,0.6,100.0,229.13936293319264,9000000000000,124.94925863546828
100,100,400,4000000,10000,40000,40000,424.26406871192853,180000,6.643856189774724,6.643856189774724,8.643856189774725,21.931568569324174,1.0,0.25,0.25,0.16666666666666666,0.16666666666666666,0.6666666666666666,100.0,229.13936293319264,16000000000000,132.7454312843676
100,100,500,5000000,10000,50000,50000,519.6152422706632,220000,6.643856189774724,6.643856189774724,8.965784284662087,22.253496664211536,1.0,0.2,0.2,0.14285714285714285,0.14285714285714285,0.7142857142857143,100.0,229.13936293319264,25000000000000,139.19587244063456
100,100,600,6000000,10000,60000,60000,616.4414002968977,260000,6.643856189774724,6.643856189774724,9.228818690495881,22.516531070045332,1.0,0.16666666666666666,0.16666666666666666,0.125,0.125,0.75,100.0,229.13936293319264,36000000000000,144.6818655100489
100,100,700,7000000,10000,70000,70000,714.142842854285,300000,6.643856189774724,6.643856189774724,9.451211111832329,22.73892349138178,1.0,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.7777777777777778,100.0,229.13936293319264,49000000000000,149.45117223538585
100,100,800,8000000,10000,80000,80000,812.403840463596,340000,6.643856189774724,6.643856189774724,9.643856189774725,22.931568569324174,1.0,0.125,0.125,0.1,0.1,0.8,100.0,229.13936293319264,64000000000000,153.6696628441792
100,200,100,2000000,20000,10000,20000,244.94897427831782,100000,6.643856189774724,7.643856189774724,6.643856189774724,20.931568569324174,0.5,1.0,2.0,0.25,0.5,0.25,150.0,229.13936293319264,4000000000000,115.23088243076079
100,200,200,4000000,20000,20000,40000,300.0,160000,6.643856189774724,7.643856189774724,7.643856189774724,21.931568569324174,0.5,0.5,1.0,0.2,0.4,0.4,150.0,229.13936293319264,16000000000000,125.1658801040338
100,200,300,6000000,20000,30000,60000,374.16573867739413,220000,6.643856189774724,7.643856189774724,8.228818690495881,22.516531070045332,0.5,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.5,150.0,229.13936293319264,36000000000000,133.463763441989
100,200,400,8000000,20000,40000,80000,458.257569495584,280000,6.643856189774724,7.643856189774724,8.643856189774725,22.931568569324174,0.5,0.25,0.5,0.14285714285714285,0.2857142857142857,0.5714285714285714,150.0,229.13936293319264,64000000000000,140.56159967960087
100,200,500,10000000,20000,50000,100000,547.7225575051662,340000,6.643856189774724,7.643856189774724,8.965784284662087,23.253496664211536,0.5,0.2,0.4,0.125,0.25,0.625,150.0,229.13936293319264,100000000000000,146.67359171589615
100,200,600,12000000,20000,60000,120000,640.3124237432849,400000,6.643856189774724,7.643856189774724,9.228818690495881,23.516531070045332,0.5,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.6666666666666666,150.0,229.13936293319264,144000000000000,151.99949220775304
