num_features,selected_features,model_name,rmse,mae,r2,accuracy,score,residuals,y_pred,y_test
17,"['inlines', 'samples', 'xlines_x_samples', 'inlines_x_samples', 'quadratic_interaction', 'log_xlines', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_x_xlines', 'mean_inlines_xlines', 'diagonal_length', 'surface_area', 'xlines', 'volume', 'log_samples']",linear_regression,2.3673823685279663e-05,1.5802374887616266e-05,0.9999999069396226,1.0,2.9741727811926952,"[3.878808876450757e-06, -4.807166510412131e-06, -3.562859320430101e-05, -1.0639406082452174e-05, 5.503186175398467e-06, -1.4091039976737996e-05, 1.755325019937859e-05, 1.5641639239893923e-05, 7.3986327460418e-06, -6.7831363948500645e-06, 4.482867976440819e-06, 9.177550290256908e-06, -6.984559586639683e-05]","[0.15644702858044646, 0.36502937381690104, 0.1043154646120845, 0.18625814713720223, 0.1266602479531475, 0.14155334681797152, 0.11175816289563395, 0.12665519576310386, 0.1862490100586602, 0.33523729257649904, 0.18625319738918503, 0.1415567811085639, 0.1639060068914393]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
16,"['inlines', 'samples', 'xlines_x_samples', 'inlines_x_samples', 'quadratic_interaction', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_x_xlines', 'mean_inlines_xlines', 'diagonal_length', 'surface_area', 'xlines', 'volume', 'log_samples']",linear_regression,2.3673312932053102e-05,1.5802639488000604e-05,0.999999906943638,1.0,2.9741727815634285,"[3.880581620596679e-06, -4.809767658153774e-06, -3.5626831978080586e-05, -1.0638782842159467e-05, 5.5045269750086945e-06, -1.4089252554833065e-05, 1.755509065769212e-05, 1.5638394144951162e-05, 7.399360205551098e-06, -6.784804181370063e-06, 4.484908152996292e-06, 9.177840366997314e-06, -6.984417200561754e-05]","[0.1564470268077023, 0.3650293764180488, 0.10431546285085828, 0.18625814651396194, 0.1266602466123479, 0.14155334503054962, 0.11175816105517564, 0.1266551990081988, 0.1862490093312007, 0.33523729424428556, 0.18625319534900847, 0.14155678081848716, 0.16390600546757852]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
15,"['inlines', 'samples', 'xlines_x_samples', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_x_xlines', 'inlines_x_samples', 'mean_inlines_xlines', 'diagonal_length', 'quadratic_interaction', 'surface_area', 'xlines', 'volume']",linear_regression,2.367503661802079e-05,1.5803748401923897e-05,0.9999999069300864,1.0,2.974172778319033,"[3.87656667225067e-06, -4.808063725270095e-06, -3.5632543168781505e-05, -1.0638177809968452e-05, 5.503276961166259e-06, -1.4092614185085006e-05, 1.7549913509121162e-05, 1.5655256446450716e-05, 7.399979607330964e-06, -6.78580624985381e-06, 4.479446313987445e-06, 9.181094671212309e-06, -6.984598990453228e-05]","[0.15644703082265066, 0.3650293747141159, 0.10431546856204899, 0.18625814590892975, 0.12666024786236174, 0.14155334839217987, 0.11175816623232421, 0.1266551821458973, 0.18624900871179892, 0.33523729524635404, 0.18625320081084748, 0.14155677756418295, 0.16390600728547744]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
14,"['samples', 'xlines_x_samples', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_x_xlines', 'inlines_x_samples', 'mean_inlines_xlines', 'diagonal_length', 'quadratic_interaction', 'surface_area', 'xlines', 'volume']",linear_regression,2.3661649013154887e-05,1.5711163782085634e-05,0.9999999070353138,1.0,2.9741728871272524,"[5.372821733684585e-06, -4.4657878397469375e-06, -3.4418579416703454e-05, -1.133073866727008e-05, 4.681336476047848e-06, -1.3735691027888519e-05, 1.884074544915293e-05, 1.535602501173683e-05, 6.232385559912235e-06, -6.260560554194328e-06, 4.994858373602584e-06, 8.240078304272425e-06, -7.031552075290048e-05]","[0.15644553456758922, 0.36502903243823037, 0.10431425459829691, 0.18625883846978705, 0.12666106980284686, 0.14155299146902267, 0.11175687540038418, 0.126655481377332, 0.18625017630584634, 0.3352367700006584, 0.18625268539878787, 0.14155771858054988, 0.1639064768163258]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
13,"['samples', 'xlines_x_samples', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_x_xlines', 'inlines_x_samples', 'mean_inlines_xlines', 'diagonal_length', 'quadratic_interaction', 'surface_area', 'volume']",linear_regression,2.482636823548864e-05,1.6545422757392415e-05,0.9999998976578875,1.0,2.974170610039195,"[-3.268356485730539e-07, -4.797640231202216e-06, -3.702509214978389e-05, -9.072762257505973e-06, 5.882171816629089e-06, -1.6789741946909853e-05, 1.4674210224704942e-05, 2.7110679075681432e-05, 8.079376495107038e-06, -7.696607071117079e-06, 8.932532153393957e-07, 1.2036985197222405e-05, -7.070514051632504e-05]","[0.15645123422497148, 0.3650293642906218, 0.10431686111102999, 0.1862565804933773, 0.12665986896750628, 0.1415560455199417, 0.11176104193560862, 0.12664372672326807, 0.18624832931491114, 0.3352382060471753, 0.18625678700394613, 0.14155392167365694, 0.16390686643608923]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
12,"['xlines_x_samples', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_x_xlines', 'inlines_x_samples', 'mean_inlines_xlines', 'diagonal_length', 'quadratic_interaction', 'surface_area', 'volume']",linear_regression,2.4750702767908834e-05,1.6260694362394283e-05,0.9999998982807706,1.0,2.974170987519282,"[-5.525890568736092e-07, -4.548817420180207e-06, -3.799940430437854e-05, -8.304648789536628e-06, 5.557707772191334e-06, -1.7509307663338136e-05, 1.3518921456942556e-05, 2.6070760326624143e-05, 7.522812914828592e-06, -6.18140515401544e-06, 1.672536998648111e-06, 1.118894114771063e-05, -7.076117370585777e-05]","[0.15645145997837978, 0.3650291154678108, 0.10431783542318458, 0.18625581237990932, 0.12666019343155072, 0.14155676508565812, 0.11176219722437639, 0.12664476664201713, 0.18624888587849142, 0.3352366908452582, 0.18625600772016282, 0.14155476971770645, 0.16390692246927877]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
11,"['xlines_x_samples', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_x_xlines', 'inlines_x_samples', 'quadratic_interaction', 'diagonal_length', 'surface_area', 'volume']",linear_regression,2.4529696764788896e-05,1.600142424307176e-05,0.9999999000892197,1.0,2.974171520160249,"[-1.0481281927932073e-06, -4.425665976692805e-06, -3.7544561989857894e-05, -7.715859402540604e-06, 5.688481697407877e-06, -1.7995113655105976e-05, 1.3258665744003695e-05, 2.4534336390075184e-05, 7.189701170556839e-06, -4.9961531795594816e-06, 2.2712711582328904e-06, 1.0611309917502032e-05, -7.073926668560437e-05]","[0.1564519555175157, 0.3650289923163673, 0.10431738058087006, 0.18625522359052232, 0.1266600626576255, 0.1415572508916499, 0.11176245748008933, 0.12664630306595367, 0.1862492189902357, 0.33523550559328374, 0.18625540898600323, 0.14155534734893666, 0.1639069005622585]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
10,"['xlines_x_samples', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_x_samples', 'quadratic_interaction', 'diagonal_length', 'surface_area', 'volume']",linear_regression,2.4529698010296957e-05,1.6001424611071193e-05,0.9999999000892096,1.0,2.974171520158336,"[-1.0481309897780733e-06, -4.425662551543752e-06, -3.754456334095768e-05, -7.715865736585004e-06, 5.688480232052262e-06, -1.799511632086248e-05, 1.325866459928049e-05, 2.4534335918258154e-05, 7.189701243415225e-06, -4.996154405467745e-06, 2.271265132386402e-06, 1.0611308239066863e-05, -7.073927123427137e-05]","[0.15645195552031269, 0.36502899231294217, 0.10431738058222116, 0.18625522359685637, 0.12666006265909086, 0.14155725089431564, 0.11176245748123405, 0.1266463030664255, 0.18624921899016283, 0.33523550559450965, 0.18625540899202908, 0.1415553473506151, 0.16390690056680718]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
9,"['xlines_x_samples', 'log_volume_x_log_diagonal', 'log_volume', 'quadratic_interaction', 'diagonal_length', 'surface_area', 'volume']",linear_regression,2.4185505230732162e-05,1.5704502763681047e-05,0.99999990287337,1.0,2.9741722432543454,"[1.8413391389415779e-07, -4.271885224560457e-06, -3.7720339807117975e-05, -5.4430114035664e-06, 5.652579882414743e-06, -1.715004408850418e-05, 1.3246540936803775e-05, 2.529111897220382e-05, 7.652981128369873e-06, -3.1162772971549124e-06, 4.410493051248965e-06, 1.0828923118266776e-05, -6.919020710374757e-05]","[0.156450723255409, 0.3650288385356152, 0.10431755635868732, 0.18625295074252335, 0.1266600985594405, 0.1415564058220833, 0.11176246960489652, 0.12664554628337155, 0.18624875571027788, 0.33523362571740134, 0.18625326976411022, 0.1415551297357359, 0.16390535150267665]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
8,"['log_volume_x_log_diagonal', 'log_volume', 'quadratic_interaction', 'diagonal_length', 'surface_area', 'volume']",linear_regression,2.3950607634556877e-05,1.5457664157864093e-05,0.9999999047508599,1.0,2.9741727807262217,"[1.1153393567608916e-06, -3.5296285388897175e-06, -3.7905570309554326e-05, -4.534765091990245e-06, 5.1660389308316734e-06, -1.6610307054382156e-05, 1.3334268863129939e-05, 2.497686694111212e-05, 7.472791725610106e-06, -2.1050647723286353e-06, 5.6377609496949255e-06, 1.0092573804992844e-05, -6.846865771295563e-05]","[0.15644979204996615, 0.3650280962789295, 0.10431774158918976, 0.18625204249621177, 0.12666058510039208, 0.14155586608504916, 0.1117623818769702, 0.12664586053540264, 0.18624893589968064, 0.3352326145048765, 0.18625204249621177, 0.14155586608504916, 0.16390462995328586]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
