volume,peak_memory_usage_avg,peak_memory_usage_std_dev,peak_memory_usage_min,peak_memory_usage_max,execution_time_avg,execution_time_std_dev,execution_time_min,execution_time_max,n_samples,peak_memory_usage_cv,execution_time_cv,peak_memory_usage_unit,execution_time_unit
1000000,0.12813949584960938,0.005293015830861679,0.12051773071289062,0.13333892822265625,0.1893317222595215,0.07305109002722729,0.1374514102935791,0.30387043952941895,5,0.041306669702164386,0.3858365051319526,gb,s
2000000,0.1523040771484375,0.004483471462816412,0.14595413208007812,0.15938186645507812,0.2385869026184082,0.061666101819761836,0.16994547843933105,0.3656754493713379,15,0.029437632575303706,0.2584639020122137,gb,s
3000000,0.1815160115559896,0.0046238376710840915,0.17330169677734375,0.18545913696289062,0.3082756837209066,0.1026547930308703,0.2137436866760254,0.6111726760864258,15,0.025473442433246965,0.3329967248529647,gb,s
4000000,0.20553690592447918,0.004040720658781677,0.19821548461914062,0.211883544921875,0.4146435022354126,0.09551737713503408,0.2666468620300293,0.6461460590362549,30,0.019659343613289415,0.230360241074764,gb,s
5000000,0.23314615885416667,0.003778753110680058,0.224273681640625,0.2379913330078125,0.6913115819295247,0.25924467860412465,0.409182071685791,1.1106972694396973,15,0.016207657588061208,0.3750041014509622,gb,s
6000000,0.2571314493815104,0.00377105225104563,0.24916458129882812,0.2638359069824219,0.5585945659213596,0.15542182079093486,0.3608667850494385,1.0592951774597168,45,0.014665853827356818,0.2782372587792334,gb,s
7000000,0.28315404256184895,0.004478955157717998,0.27556610107421875,0.2892417907714844,0.7308395067850749,0.2786233044901118,0.4204387664794922,1.4742457866668701,15,0.01581808656939682,0.38123733309897445,gb,s
8000000,0.31074745178222657,0.004326035928390377,0.2977790832519531,0.3160820007324219,0.7807591533660889,0.26483519213761314,0.5064783096313477,1.696136236190796,50,0.013921388264261893,0.3392021611220675,gb,s
9000000,0.33618698120117185,0.004163590296077543,0.3300361633300781,0.34214019775390625,0.7433440844217937,0.1543712049531739,0.6062214374542236,1.201812505722046,15,0.012384745778082585,0.20767126313146186,gb,s
10000000,0.36204312642415365,0.004651667893192237,0.3490562438964844,0.36823272705078125,0.8784571806589763,0.2437019343704721,0.6129381656646729,1.7709729671478271,30,0.012848380631158703,0.27742039081251363,gb,s
12000000,0.4139244588216146,0.004112138097577994,0.4073295593261719,0.4202461242675781,1.0166112518310546,0.25037015515703037,0.7444467544555664,1.843146800994873,75,0.00993451343582034,0.24627915017277233,gb,s
14000000,0.46758193969726564,0.004418859382865132,0.4586181640625,0.47274017333984375,1.2813124497731527,0.45378310911324266,0.8601977825164795,2.916714668273926,30,0.009450449231905978,0.35415492075612137,gb,s
15000000,0.49119962056477867,0.005001326774632618,0.4828033447265625,0.4988136291503906,1.1929267724355062,0.21900592534672517,0.8898830413818359,1.6578216552734375,30,0.01018186204802463,0.18358706536495759,gb,s
16000000,0.5174383163452149,0.0049345536578508835,0.5072975158691406,0.5252723693847656,1.3991111596425374,0.6391564342534964,0.9405453205108643,4.532646179199219,60,0.009536506095460352,0.45683034535783146,gb,s
18000000,0.57127439710829,0.004704729642132858,0.5601768493652344,0.5774497985839844,1.4080480416615804,0.33838687931280975,1.0634679794311523,2.8046648502349854,45,0.008235498852998721,0.24032339046719822,gb,s
20000000,0.6218065897623698,0.0041885247745940095,0.6130599975585938,0.6290550231933594,1.6530244138505723,0.6860773835298309,1.2008821964263916,4.141287326812744,45,0.006736057229941387,0.4150437088413444,gb,s
21000000,0.6491709391276042,0.0045822152373749415,0.637542724609375,0.655517578125,2.0403164704640706,0.864447192741805,1.2474696636199951,4.428581714630127,30,0.00705856494983094,0.42368289687196725,gb,s
24000000,0.7269868033272879,0.004494524005469114,0.7168693542480469,0.7335968017578125,1.855386563709804,0.5088362577302125,1.3779959678649902,3.8132541179656982,105,0.006182401090224039,0.27424810962994456,gb,s
25000000,0.7546918233235677,0.004945067449207906,0.7456207275390625,0.7593231201171875,1.9847596963246663,0.6357170368763182,1.472569227218628,3.8540945053100586,15,0.006552432789625907,0.3202992473363525,gb,s
27000000,0.8066932678222656,0.003499550129778227,0.8024139404296875,0.8112297058105469,2.0494813919067383,0.6808241281427136,1.737011432647705,3.2673449516296387,5,0.004338142227498128,0.33219336893286344,gb,s
28000000,0.8310698615180121,0.0044642264569145565,0.8226356506347656,0.8381385803222656,2.416216903262668,1.0355586935817611,1.6275660991668701,6.140567779541016,45,0.0053716620751477,0.428586809480318,gb,s
30000000,0.8836450576782227,0.004467513533649701,0.8754997253417969,0.8899154663085938,2.2434279958407086,0.5501675507862639,1.7244594097137451,3.7845418453216553,60,0.0050557783295796304,0.24523521673361864,gb,s
32000000,0.9351818084716796,0.004244132564892704,0.926788330078125,0.9424247741699219,2.406921899318695,0.6161882890631212,1.8172264099121094,4.840656518936157,60,0.004538296753043855,0.2560067650045229,gb,s
35000000,1.015009307861328,0.004097175140557707,1.0076217651367188,1.0205307006835938,2.6236244678497314,0.6050124669248483,2.0022265911102295,4.093440294265747,30,0.004036588737487192,0.23060177793687986,gb,s
36000000,1.0410645802815754,0.004877867870528907,1.0301361083984375,1.0466270446777344,2.6935103933016458,0.8139375687054471,2.06792950630188,5.170961856842041,60,0.004685461366104297,0.30218467718913844,gb,s
40000000,1.144887351989746,0.004058308627335017,1.1359901428222656,1.1504096984863281,3.1066025217374165,0.8229468125352757,2.281827926635742,5.193938493728638,60,0.0035447230858843175,0.264902512238685,gb,s
42000000,1.1972302754720052,0.004107670025793078,1.1873016357421875,1.20318603515625,3.3146391113599143,1.0301299373483332,2.3939406871795654,6.644119501113892,60,0.003430977406726236,0.3107819291149607,gb,s
45000000,1.275670623779297,0.0035747309796220973,1.2681007385253906,1.2810134887695312,3.625303522745768,1.189016184037486,2.6532349586486816,6.919698476791382,15,0.002802236653401654,0.3279770029122795,gb,s
48000000,1.3542584373837425,0.00408279950211778,1.3420600891113281,1.3595924377441406,3.9501730987003874,1.336852230011579,2.682180881500244,10.974992036819458,105,0.0030147860920883294,0.3384287717546872,gb,s
49000000,1.3820755004882812,0.0023625928230476996,1.3781318664550781,1.3840751647949219,3.8291285355885822,0.8378723724100925,2.9290356636047363,5.75743293762207,15,0.0017094527919878516,0.21881542095616846,gb,s
50000000,1.407903798421224,0.0029521644261747706,1.4022483825683594,1.4116134643554688,4.980665524800618,1.5952886870960716,3.487295627593994,7.98919677734375,15,0.0020968509563545666,0.320296289552576,gb,s
54000000,1.5116353352864584,0.0027581820933493435,1.506622314453125,1.5153961181640625,4.2216420809427895,0.6029219854193716,3.6433637142181396,5.652160882949829,15,0.0018246345722175525,0.14281693565190284,gb,s
56000000,1.5638417561848958,0.0025799399906503958,1.5575370788574219,1.5682754516601562,4.60308533112208,1.1337213509496256,3.334087610244751,8.185879468917847,60,0.0016497449185295732,0.24629596659535785,gb,s
60000000,1.6676628748575846,0.0027721996896736315,1.6609916687011719,1.6725883483886719,4.933844125270843,1.2022302475097946,3.9963178634643555,10.2610182762146,60,0.0016623262000183174,0.2436700911064551,gb,s
63000000,1.7472511291503907,0.0024377014797163396,1.7443466186523438,1.7503280639648438,5.132369057337443,0.9685585403108936,4.343260765075684,7.797648906707764,15,0.0013951637741402884,0.18871568460693663,gb,s
