inlines,xlines,samples,chunking_mode,worker_count,timestamp,session_id,random_id,worker_addr,peak_memory_usage_bytes,avg_memory_usage_bytes,memory_usage_history
100,100,100,auto,1,1744660851,430132,430132,tcp://127.0.0.1:33417,361996288,185439641.6,"[155873280, 155873280, 155873280, 155873280, 156004352, 156004352, 156004352, 174743552, 174743552, 180809728, 180809728, 193646592, 193646592, 193646592, 191422464, 191422464, 193466368, 193466368, 193466368, 361996288]"
100,100,100,auto,1,1744660908,603829,603829,tcp://127.0.0.1:40809,375996416,186039500.8,"[156454912, 156454912, 156454912, 156454912, 156454912, 156717056, 156717056, 176394240, 176394240, 181899264, 181899264, 181899264, 191176704, 191176704, 191307776, 191307776, 191307776, 197160960, 197160960, 375996416]"
100,100,100,auto,1,1744660961,660934,660934,tcp://127.0.0.1:36535,227770368,183547904.0,"[156594176, 156594176, 156594176, 156594176, 156725248, 156725248, 156725248, 175071232, 175071232, 181157888, 181157888, 181157888, 190050304, 190050304, 200318976, 200318976, 200318976, 191758336, 191758336, 227770368, 227770368, 227770368]"
100,100,100,auto,2,1744661425,782976,782976,tcp://127.0.0.1:43039,157241344,157153962.66666666,"[156979200, 156979200, 156979200, 156979200, 156979200, 157110272, 157110272, 157241344, 157241344, 157241344, 157241344, 157241344, 157241344, 157241344, 157241344, 157241344, 157241344, 157241344]"
100,100,100,auto,2,1744661425,782976,782976,tcp://127.0.0.1:46069,352681984,184761912.8888889,"[155725824, 155725824, 155725824, 155725824, 155725824, 156119040, 156119040, 176242688, 176242688, 176242688, 185577472, 185577472, 190337024, 190337024, 200536064, 200536064, 200536064, 352681984]"
100,100,100,auto,2,1744661475,67007,67007,tcp://127.0.0.1:36143,347586560,191066543.15789473,"[156135424, 156135424, 156135424, 156135424, 156135424, 156397568, 156397568, 156397568, 176304128, 176304128, 186236928, 186236928, 191385600, 191385600, 191385600, 192991232, 192991232, 347586560, 347586560]"
100,100,100,auto,2,1744661475,67007,67007,tcp://127.0.0.1:42495,156975104,156885423.15789473,"[156712960, 156712960, 156712960, 156712960, 156712960, 156844032, 156844032, 156844032, 156975104, 156975104, 156975104, 156975104, 156975104, 156975104, 156975104, 156975104, 156975104, 156975104, 156975104]"
100,100,100,auto,2,1744661525,636009,636009,tcp://127.0.0.1:34783,155996160,155850524.44444445,"[155734016, 155734016, 155734016, 155734016, 155734016, 155865088, 155865088, 155865088, 155865088, 155865088, 155865088, 155865088, 155865088, 155865088, 155865088, 155996160, 155996160, 155996160]"
100,100,100,auto,2,1744661525,636009,636009,tcp://127.0.0.1:39861,350982144,183808682.66666666,"[156028928, 156028928, 156028928, 156028928, 156028928, 156291072, 156291072, 175980544, 175980544, 175980544, 185540608, 185540608, 190910464, 190910464, 190910464, 196546560, 196546560, 350982144]"
100,100,100,auto,4,1744662028,949659,949659,tcp://127.0.0.1:33041,157151232,157068449.68421054,"[156889088, 156889088, 156889088, 156889088, 156889088, 157020160, 157020160, 157151232, 157151232, 157151232, 157151232, 157151232, 157151232, 157151232, 157151232, 157151232, 157151232, 157151232, 157151232]"
