inlines,xlines,samples,chunking_mode,avg_exec_time_sec,median_exec_time_sec,avg_total_peak_memory_bytes,median_total_peak_memory_bytes,total_runs,oom_count,oom_ratio
100,100,100,auto,4.331307848294576,4.315310716629028,777741994.6666666,620638208.0,12,0,0.0
100,100,100,evenly_split,4.232829491297404,4.07026731967926,748235093.3333334,621641728.0,12,0,0.0
100,100,100,memaware,4.245485385258992,4.179224491119385,739922944.0,607033344.0,12,0,0.0
100,100,200,auto,6.056466738382976,6.165483236312866,1064826880.0,934803456.0,12,0,0.0
100,100,200,evenly_split,5.991369545459747,5.984924077987671,1066231466.6666666,939706368.0,12,0,0.0
100,100,200,memaware,8.222956637541452,7.649605751037598,1021413717.3333334,944539648.0,12,0,0.0
100,100,300,auto,7.714382290840149,7.524937152862549,1345442816.0,1237131264.0,12,0,0.0
100,100,300,evenly_split,7.678841869036357,7.720924377441406,1341007189.3333333,1220972544.0,12,0,0.0
100,100,300,memaware,11.934365193049112,11.829619884490967,1153541802.6666667,1015429120.0,12,0,0.0
100,100,400,auto,9.818128168582916,9.787028074264526,1617792682.6666667,1529880576.0,12,0,0.0
100,100,400,evenly_split,9.129683335622152,9.003828048706055,1621682858.6666667,1537310720.0,12,0,0.0
100,100,400,memaware,15.3012136220932,15.430217742919922,1324214613.3333333,1232472064.0,12,0,0.0
100,200,100,auto,5.923880159854889,6.064352750778198,1064044885.3333334,955181056.0,12,0,0.0
100,200,100,evenly_split,5.884785036245982,6.01590359210968,1061023744.0,946370560.0,12,0,0.0
100,200,100,memaware,7.975009898344676,7.698182106018066,1024312320.0,946612224.0,12,0,0.0
100,200,200,auto,9.031984806060791,8.644248962402344,1608352085.3333333,1535266816.0,12,0,0.0
100,200,200,evenly_split,9.112682362397512,8.906534194946289,1614668117.3333333,1491752960.0,12,0,0.0
100,200,200,memaware,15.679958661397299,14.994549632072449,1283060736.0,1138135040.0,12,0,0.0
100,200,300,auto,13.17921773592631,12.598539471626282,2179121834.6666665,2095937536.0,12,0,0.0
100,200,300,evenly_split,12.121074775854746,11.731359958648682,2152643925.3333335,2082379776.0,12,0,0.0
100,200,300,memaware,22.783198416233063,22.335359692573547,1577287338.6666667,1387610112.0,12,0,0.0
100,200,400,auto,15.88917644818624,15.758277654647827,2425562453.3333335,2365575168.0,10,1,0.1
100,200,400,evenly_split,15.42034059100681,15.654978275299072,2482329372.4444447,2392342528.0,10,1,0.1
100,200,400,memaware,29.489206612110138,29.848923206329346,1758212096.0,1468592128.0,12,0,0.0
100,300,100,auto,7.441562910874684,7.582866311073303,1333270528.0,1225439232.0,12,0,0.0
100,300,100,evenly_split,7.669863680998485,7.615785360336304,1351217834.6666667,1262733312.0,12,0,0.0
100,300,100,memaware,11.534039795398712,11.318126201629639,1173638826.6666667,1062574080.0,12,0,0.0
100,300,200,auto,12.340222219626108,12.144222974777222,2138371072.0,1998448640.0,12,0,0.0
100,300,200,evenly_split,12.60960872968038,12.46609890460968,2150781269.3333335,2011484160.0,12,0,0.0
100,300,200,memaware,22.299799780050915,21.90962827205658,1547515221.3333333,1410037760.0,12,0,0.0
100,300,300,auto,16.626887983746,17.28586220741272,2722512896.0,2723520512.0,10,1,0.1
100,300,300,evenly_split,17.111829174889458,16.92272973060608,2750012074.6666665,2759057408.0,10,1,0.1
100,300,300,memaware,33.95528735717138,33.008511543273926,1797452458.6666667,1555326976.0,12,0,0.0
100,300,400,auto,21.7462068133884,21.9654438495636,3535147463.111111,3441844224.0,10,1,0.1
100,300,400,evenly_split,22.037324984868366,21.67070269584656,3524390912.0,3428790272.0,10,1,0.1
100,300,400,memaware,44.53136267264684,43.226377844810486,1935545685.3333333,1645414400.0,12,0,0.0
100,400,100,auto,8.874705175558725,8.72733736038208,1606225237.3333333,1493643264.0,12,0,0.0
100,400,100,evenly_split,9.143971224625906,9.182832956314087,1601618602.6666667,1493307392.0,12,0,0.0
100,400,100,memaware,16.10997486114502,15.797762870788574,1330912256.0,1191221248.0,12,0,0.0
100,400,200,auto,15.298230250676474,15.383015155792236,2428102428.4444447,2362228736.0,10,1,0.1
100,400,200,evenly_split,15.101774295171102,14.515068292617798,2467894613.3333335,2377789440.0,10,1,0.1
100,400,200,memaware,30.990077992280323,30.36484181880951,1764001109.3333333,1506422784.0,12,0,0.0
100,400,300,auto,21.5783797899882,21.339829206466675,3505755477.3333335,3415412736.0,10,1,0.1
100,400,300,evenly_split,21.432724502351547,21.748616218566895,3511359260.4444447,3426996224.0,10,1,0.1
100,400,300,memaware,44.67211788892746,45.716628432273865,1927136938.6666667,1649248256.0,12,0,0.0
100,400,400,auto,26.00301718711853,26.101343631744385,4439584085.333333,4394186752.0,8,2,0.25
100,400,400,evenly_split,26.92139224211375,26.972310066223145,4402824533.333333,4405725184.0,8,2,0.25
100,400,400,memaware,57.737172623475395,55.57155358791351,2068110336.0,1794646016.0,12,0,0.0
200,100,100,auto,5.702859699726105,5.507253646850586,1054902613.3333334,936792064.0,12,0,0.0
200,100,100,evenly_split,6.060875078042348,6.145858287811279,1061881856.0,954941440.0,12,0,0.0
200,100,100,memaware,8.263770282268524,8.147919297218323,1026707797.3333334,956022784.0,12,0,0.0
200,100,200,auto,9.470781564712524,9.204006791114807,1596109482.6666667,1484019712.0,12,0,0.0
200,100,200,evenly_split,9.439506530761719,8.97681176662445,1616727040.0,1477564416.0,12,0,0.0
200,100,200,memaware,15.585785269737244,15.492220878601074,1311712938.6666667,1192577024.0,12,0,0.0
200,100,300,auto,13.287922342618307,12.507436156272888,2148200448.0,2073335808.0,12,0,0.0
