inlines,xlines,samples,chunking_mode,worker_count,timestamp,session_id,random_id,execution_time_sec,peak_memory_usage_bytes,avg_memory_usage_bytes,oom_or_failed
100,100,200,evenly_split,8,1744665936,31026,31026,6.2524566650390625,629858304.0,174683033.6,False
100,100,200,evenly_split,8,1744666007,378328,378328,6.1689441204071045,647819264.0,175141524.6451613,False
100,100,200,evenly_split,8,1744666113,45741,45741,7.948978900909424,649342976.0,176593920.0,False
100,100,200,memaware,1,1744664054,281052,281052,6.4554219245910645,459821056.0,239232957.93548387,False
100,100,200,memaware,1,1744664109,834854,834854,6.368295192718506,467890176.0,246782414.4516129,False
100,100,200,memaware,1,1744664161,342871,342871,7.551117420196533,474079232.0,242535562.3783784,False
100,100,200,memaware,2,1744664659,736082,736082,7.467814922332764,405172224.0,200534846.2702703,False
100,100,200,memaware,2,1744664717,423549,423549,7.372347593307495,417034240.0,220136504.8888889,False
100,100,200,memaware,2,1744664799,206699,206699,7.383986234664917,412758016.0,215714201.6,False
100,100,200,memaware,4,1744665374,737391,737391,8.1457359790802,418029568.0,189166481.2972973,False
100,100,200,memaware,4,1744665464,505831,505831,7.748094081878662,422227968.0,190050027.24324325,False
100,100,200,memaware,4,1744665524,42377,42377,7.972710847854614,410767360.0,187909632.0,False
100,100,200,memaware,8,1744666244,172471,172471,10.692422151565552,407076864.0,173853319.8367347,False
100,100,200,memaware,8,1744666336,597986,597986,10.733576536178589,419524608.0,174689162.66666666,False
100,100,200,memaware,8,1744666477,776501,776501,10.78395676612854,416948224.0,173623695.36,False
100,100,300,auto,1,1744666636,552961,552961,8.176198244094849,922570752.0,423998595.28205127,False
100,100,300,auto,1,1744666688,714366,714366,6.717550754547119,905621504.0,409895996.2352941,False
100,100,300,auto,1,1744666774,136013,136013,7.3475117683410645,879329280.0,373967075.5555556,False
100,100,300,auto,2,1744667367,277791,277791,6.646468639373779,910278656.0,282435087.5151515,False
100,100,300,auto,2,1744667421,670932,670932,7.702362537384033,915222528.0,290337708.972973,False
100,100,300,auto,2,1744667492,466049,466049,6.520064830780029,870473728.0,278127232.0,False
100,100,300,auto,4,1744668110,684122,684122,8.191745281219482,921649152.0,221497676.8,False
100,100,300,auto,4,1744668172,885568,885568,6.947252035140991,933179392.0,223618138.3529412,False
100,100,300,auto,4,1744668263,74334,74334,7.263345241546631,906047488.0,222287132.44444445,False
100,100,300,auto,8,1744668896,860463,860463,9.53321361541748,932446208.0,191601986.7826087,False
100,100,300,auto,8,1744668976,800043,800043,9.539613962173462,931655680.0,191687991.6521739,False
100,100,300,auto,8,1744669101,619614,619614,7.987260580062866,881688576.0,188603851.4871795,False
100,100,300,evenly_split,1,1744666883,153261,153261,6.740661382675171,896819200.0,406599742.06060606,False
100,100,300,evenly_split,1,1744666943,135580,135580,7.319160461425781,889737216.0,382996366.2222222,False
100,100,300,evenly_split,1,1744667060,370350,370350,6.694240570068359,903856128.0,388157184.0,False
100,100,300,evenly_split,2,1744667595,36692,36692,7.20258641242981,904933376.0,279099333.48571426,False
100,100,300,evenly_split,2,1744667650,561133,561133,7.629800081253052,871768064.0,285444594.1621622,False
100,100,300,evenly_split,2,1744667735,394608,394608,6.593643426895142,914800640.0,283729982.06060606,False
100,100,300,evenly_split,4,1744668406,52813,52813,7.883838415145874,886046720.0,221025522.52631578,False
100,100,300,evenly_split,4,1744668468,407644,407644,8.203438758850098,919334912.0,222777743.6097561,False
100,100,300,evenly_split,4,1744668535,755194,755194,8.215524673461914,921731072.0,224327552.0,False
100,100,300,evenly_split,8,1744669219,270145,270145,7.812048673629761,907436032.0,190217269.89473683,False
100,100,300,evenly_split,8,1744669350,577745,577745,9.490062713623047,934498304.0,191378988.52173913,False
100,100,300,evenly_split,8,1744669428,896600,896600,8.361096858978271,905273344.0,191114649.6,False
100,100,300,memaware,1,1744667152,350389,350389,9.35521149635315,473141248.0,271310937.04347825,False
100,100,300,memaware,1,1744667206,930776,930776,9.282927513122559,451432448.0,265985780.86956522,False
100,100,300,memaware,1,1744667259,405747,405747,10.877297163009644,481583104.0,269162457.3584906,False
100,100,300,memaware,2,1744667828,863633,863633,12.391743898391724,441999360.0,230809842.98305085,False
100,100,300,memaware,2,1744667932,338276,338276,10.428929090499878,467337216.0,234009026.56,False
100,100,300,memaware,2,1744667990,829175,829175,10.570783853530884,421863424.0,239133286.4,False
100,100,300,memaware,4,1744668645,162828,162828,14.302879333496094,427798528.0,201559439.18644068,False
100,100,300,memaware,4,1744668713,329281,329281,13.208849430084229,439373824.0,189807112.67796612,False
100,100,300,memaware,4,1744668785,906758,906758,11.26749587059021,425050112.0,199923589.12,False
100,100,300,memaware,8,1744669544,686474,686474,12.817177534103394,432283648.0,180410550.85714287,False
100,100,300,memaware,8,1744669669,755185,755185,13.131560325622559,435519488.0,180978939.50877193,False
100,100,300,memaware,8,1744669773,928971,928971,15.577526807785034,418070528.0,187796793.80645162,False
100,100,400,auto,1,1744669921,244330,244330,10.392879486083984,1171144704.0,553985365.3333334,False
100,100,400,auto,1,1744669975,886726,886726,9.272693634033203,1179910144.0,558525644.8,False
100,100,400,auto,1,1744670044,710442,710442,9.359660387039185,1174147072.0,541025680.6956521,False
100,100,400,auto,2,1744670677,637455,637455,7.958054780960083,1145339904.0,351844028.631579,False
100,100,400,auto,2,1744670768,683584,683584,9.663931846618652,1204756480.0,366863076.7659575,False
100,100,400,auto,2,1744670825,651908,651908,9.191103458404541,1192796160.0,353934904.8888889,False
100,100,400,auto,4,1744671438,988585,988585,9.9101243019104,1173114880.0,256669866.66666666,False
100,100,400,auto,4,1744671500,986225,986225,8.367212295532227,1162895360.0,254386076.09756097,False
100,100,400,auto,4,1744671574,911272,911272,10.07237982749939,1160724480.0,257156054.20408165,False
100,100,400,auto,8,1744672260,414572,414572,11.666853427886963,1195921408.0,209630673.45454547,False
100,100,400,auto,8,1744672347,253558,253558,11.907700300216675,1178902528.0,208452246.06896552,False
100,100,400,auto,8,1744672483,918133,918133,10.054944276809692,1166012416.0,208656101.87755102,False
100,100,400,evenly_split,1,1744670173,786473,786473,9.185493469238281,1181376512.0,554665611.6363636,False
100,100,400,evenly_split,1,1744670284,188782,188782,8.822162628173828,1160257536.0,539890426.0465117,False
100,100,400,evenly_split,1,1744670359,282372,282372,8.61971139907837,1187991552.0,519562073.3023256,False
100,100,400,evenly_split,2,1744670936,648158,648158,7.844575881958008,1162465280.0,350458664.42105263,False
100,100,400,evenly_split,2,1744670996,40274,40274,9.55822205543518,1202651136.0,364049808.6956521,False
100,100,400,evenly_split,2,1744671052,71403,71403,9.250138282775879,1184538624.0,365143153.7777778,False
100,100,400,evenly_split,4,1744671677,749131,749131,8.415242910385132,1159888896.0,256545945.6,False
100,100,400,evenly_split,4,1744671764,574952,574952,8.23814582824707,1180151808.0,255321038.04878047,False
100,100,400,evenly_split,4,1744671838,530311,530311,8.306822776794434,1169772544.0,255012039.80487806,False
100,100,400,evenly_split,8,1744672604,157893,157893,9.651646614074707,1188151296.0,207122050.72340426,False
100,100,400,evenly_split,8,1744672714,86881,86881,10.089677333831787,1183547392.0,207588994.72340426,False
100,100,400,evenly_split,8,1744672797,20330,20330,11.574360847473145,1162387456.0,207742043.42857143,False
100,100,400,memaware,1,1744670451,542543,542543,13.322764158248901,518942720.0,291144064.0,False
100,100,400,memaware,1,1744670508,823498,823498,13.259258508682251,497696768.0,285363768.8888889,False
100,100,400,memaware,1,1744670566,313434,313434,12.269392490386963,472973312.0,295407477.15254235,False
100,100,400,memaware,2,1744671193,526841,526841,14.778308153152466,499453952.0,243535199.08571428,False
100,100,400,memaware,2,1744671261,334445,334445,15.968640327453613,469712896.0,249449048.74666667,False
100,100,400,memaware,2,1744671329,137290,137290,16.227503776550293,466636800.0,259247117.2987013,False
100,100,400,memaware,4,1744671961,25952,25952,14.788737535476685,435077120.0,223722193.8360656,False
100,100,400,memaware,4,1744672039,163023,163023,17.31924796104431,424697856.0,225167489.8028169,False
100,100,400,memaware,4,1744672156,345371,345371,14.89179515838623,439586816.0,226440240.76190478,False
100,100,400,memaware,8,1744672940,524370,524370,17.058807373046875,424316928.0,199008256.0,False
100,100,400,memaware,8,1744673047,471936,471936,16.824564218521118,434909184.0,191000990.11764705,False
100,100,400,memaware,8,1744673169,48485,48485,16.9055438041687,424230912.0,201017237.01492536,False
100,200,100,auto,1,1744673308,29943,29943,6.0001630783081055,590016512.0,266690998.85714287,False
100,200,100,auto,1,1744673412,414589,414589,5.291073560714722,620711936.0,276628558.7692308,False
100,200,100,auto,1,1744673515,529395,529395,5.284918546676636,618496000.0,283643904.0,False
100,200,100,auto,2,1744674066,617116,617116,5.097928047180176,642908160.0,221996810.24,False
100,200,100,auto,2,1744674118,559334,559334,6.162456750869751,645447680.0,224575078.39999998,False
100,200,100,auto,2,1744674177,526578,526578,5.1773035526275635,636764160.0,217753757.53846154,False
100,200,100,auto,4,1744674708,831718,831718,6.128542423248291,644595712.0,187754939.73333332,False
100,200,100,auto,4,1744674796,382743,382743,6.416944980621338,627261440.0,192615392.0,False
100,200,100,auto,4,1744674891,632654,632654,5.577262878417969,648798208.0,190413596.44444445,False
100,200,100,auto,8,1744675443,969661,969661,6.24700403213501,621666304.0,174580684.8,False
100,200,100,auto,8,1744675516,41939,41939,7.550023555755615,657891328.0,175841052.44444445,False
100,200,100,auto,8,1744675612,875618,875618,6.152940511703491,631230464.0,174096450.06451613,False
100,200,100,evenly_split,1,1744673623,908752,908752,5.321033239364624,611295232.0,262071217.23076922,False
100,200,100,evenly_split,1,1744673673,642322,642322,6.089447021484375,655810560.0,294779426.1333333,False
100,200,100,evenly_split,1,1744673774,632083,632083,5.8097710609436035,614563840.0,280455379.86206895,False
100,200,100,evenly_split,2,1744674285,416002,416002,5.027403354644775,647798784.0,222866309.12,False
100,200,100,evenly_split,2,1744674337,54084,54084,5.90191125869751,618377216.0,223746471.72413793,False
100,200,100,evenly_split,2,1744674392,538767,538767,5.942360162734985,621309952.0,225602736.55172414,False
100,200,100,evenly_split,4,1744674989,904820,904820,5.347787380218506,617824256.0,189375146.6666667,False
100,200,100,evenly_split,4,1744675048,957780,957780,6.294908285140991,623591424.0,188422077.93548387,False
100,200,100,evenly_split,4,1744675109,708211,708211,6.225296974182129,628641792.0,189062792.53333333,False
100,200,100,evenly_split,8,1744675718,438187,438187,6.2423179149627686,629886976.0,173939899.73333335,False
100,200,100,evenly_split,8,1744675790,147774,147774,6.218406677246094,644505600.0,174962534.4,False
