inlines,xlines,samples,worker_count,best_mode,best_time,memaware_diff
200,400,400,1,evenly_split,46.51792669296265,9.5%
200,400,400,2,memaware,55.724496841430664,0.0%
200,400,400,4,memaware,59.8033435344696,0.0%
200,400,400,8,memaware,145.24502420425415,0.0%
300,100,100,1,evenly_split,6.83661675453186,33.6%
300,100,100,2,auto,7.354516744613648,40.0%
300,100,100,4,auto,7.087963581085205,60.0%
300,100,100,8,evenly_split,8.055101156234741,58.9%
300,100,200,1,evenly_split,11.628641605377195,59.6%
300,100,200,2,auto,11.629290342330933,93.0%
300,100,200,4,evenly_split,12.630637884140016,94.0%
300,100,200,8,auto,16.09883141517639,80.7%
300,100,300,1,evenly_split,15.587250471115112,70.3%
300,100,300,2,evenly_split,15.78695583343506,92.3%
300,100,300,4,evenly_split,17.169222831726074,107.2%
300,100,300,8,memaware,42.6106481552124,0.0%
300,100,400,1,auto,19.946266889572144,61.8%
300,100,400,2,evenly_split,20.3787784576416,82.5%
300,100,400,4,evenly_split,22.495134830474857,82.0%
300,100,400,8,memaware,56.25033450126648,0.0%
300,200,100,1,evenly_split,10.83607530593872,53.9%
300,200,100,2,evenly_split,11.531461238861084,69.6%
300,200,100,4,evenly_split,11.836913585662842,107.2%
300,200,100,8,auto,16.080291271209717,54.5%
300,200,200,1,evenly_split,19.874406576156616,80.9%
300,200,200,2,evenly_split,20.052894353866577,85.3%
300,200,200,4,evenly_split,22.646002531051636,100.5%
300,200,200,8,memaware,56.416306018829346,0.0%
300,200,300,1,evenly_split,27.94396591186523,66.1%
300,200,300,2,auto,28.939552307128903,112.1%
300,200,300,4,memaware,60.544723987579346,0.0%
300,200,300,8,memaware,82.86081671714783,0.0%
300,200,400,1,evenly_split,36.11749649047851,68.3%
300,200,400,2,evenly_split,38.22128510475159,87.0%
300,200,400,4,memaware,79.00986862182617,0.0%
300,200,400,8,memaware,110.8101794719696,0.0%
300,300,100,1,evenly_split,15.472054958343506,61.8%
300,300,100,2,auto,15.583160400390623,109.1%
300,300,100,4,auto,16.757456064224243,88.4%
300,300,100,8,memaware,43.06839442253113,0.0%
300,300,200,1,evenly_split,28.004119634628296,65.8%
300,300,200,2,evenly_split,28.59751057624817,89.4%
300,300,200,4,memaware,60.31295299530029,0.0%
300,300,200,8,memaware,83.32855558395386,0.0%
300,300,300,1,auto,39.19002079963684,4.2%
300,300,300,2,memaware,42.15877532958984,0.0%
300,300,300,4,memaware,62.81099462509155,0.0%
300,300,300,8,memaware,80.59153604507446,0.0%
300,300,400,1,auto,53.57167077064514,68.2%
300,300,400,2,memaware,105.08594632148744,0.0%
300,300,400,4,memaware,116.13256216049194,0.0%
300,300,400,8,memaware,161.89518189430237,0.0%
300,400,100,1,evenly_split,19.714049577713013,79.2%
300,400,100,2,evenly_split,19.928900003433228,89.5%
300,400,100,4,evenly_split,22.39593482017517,83.6%
300,400,100,8,memaware,56.61583590507507,0.0%
300,400,200,1,evenly_split,36.465301513671875,68.0%
300,400,200,2,evenly_split,37.924283266067505,90.2%
300,400,200,4,memaware,79.0691888332367,0.0%
300,400,200,8,memaware,95.92927169799805,0.0%
300,400,300,1,evenly_split,53.61394190788269,67.7%
300,400,300,2,memaware,105.35759139060974,0.0%
300,400,300,4,memaware,116.48558354377748,0.0%
300,400,300,8,memaware,161.37576580047607,0.0%
300,400,400,1,auto,73.3742618560791,60.8%
300,400,400,2,memaware,139.00501489639282,0.0%
300,400,400,4,memaware,153.31751108169556,0.0%
300,400,400,8,memaware,214.9155650138855,0.0%
400,100,100,1,evenly_split,8.288147687911987,44.3%
400,100,100,2,evenly_split,8.77449107170105,58.6%
400,100,100,4,auto,8.577846050262451,71.2%
400,100,100,8,auto,9.925183057785034,67.7%
400,100,200,1,auto,14.432846307754517,70.2%
400,100,200,2,evenly_split,14.550650835037231,103.8%
400,100,200,4,auto,15.679541110992432,104.8%
400,100,200,8,memaware,38.49199414253235,0.0%
400,100,300,1,evenly_split,19.804856538772583,62.3%
400,100,300,2,evenly_split,20.265676259994507,82.4%
400,100,300,4,evenly_split,22.32599377632141,83.3%
400,100,300,8,memaware,55.558748722076416,0.0%
400,100,400,1,auto,25.581100940704346,64.4%
400,100,400,2,evenly_split,26.05324673652649,87.4%
400,100,400,4,memaware,53.58990311622619,0.0%
400,100,400,8,memaware,73.13149380683899,0.0%
400,200,100,1,evenly_split,14.281890630722046,68.8%
400,200,100,2,evenly_split,14.36831283569336,105.5%
400,200,100,4,auto,15.571590662002563,106.6%
400,200,100,8,memaware,38.507824659347534,0.0%
400,200,200,1,evenly_split,25.35779285430908,6.8%
400,200,200,2,evenly_split,26.02993416786194,11.3%
400,200,200,4,memaware,32.882203817367554,0.0%
400,200,200,8,memaware,74.08068203926086,0.0%
400,200,300,1,evenly_split,36.31030321121216,68.7%
400,200,300,2,auto,38.14022779464722,88.2%
400,200,300,4,memaware,79.44661068916321,0.0%
400,200,300,8,memaware,109.52164483070374,0.0%
400,200,400,1,evenly_split,46.74586796760559,7.1%
400,200,400,2,memaware,54.13640117645264,0.0%
400,200,400,4,memaware,58.69097280502319,0.0%
400,200,400,8,memaware,144.05014562606812,0.0%
400,300,100,1,auto,19.280643224716187,69.0%
400,300,100,2,evenly_split,19.816515684127808,95.3%
400,300,100,4,evenly_split,22.35247254371643,85.2%
400,300,100,8,memaware,56.57853484153747,0.0%
400,300,200,1,auto,35.738304138183594,70.7%
400,300,200,2,evenly_split,38.308939933776855,86.9%
400,300,200,4,memaware,79.35862708091736,0.0%
400,300,200,8,memaware,109.75886154174805,0.0%
400,300,300,1,auto,53.4511513710022,67.4%
400,300,300,2,memaware,104.83271503448486,0.0%
400,300,300,4,memaware,115.9823236465454,0.0%
400,300,300,8,memaware,161.50974440574646,0.0%
400,300,400,1,auto,72.73141765594482,63.4%
400,300,400,2,memaware,138.36153984069824,0.0%
400,300,400,4,memaware,154.02454924583435,0.0%
400,300,400,8,memaware,212.73283123970032,0.0%
400,400,100,1,auto,25.01562190055847,70.1%
400,400,100,2,auto,25.459737300872803,95.6%
400,400,100,4,memaware,54.22000241279602,0.0%
400,400,100,8,memaware,74.66226553916931,0.0%
400,400,200,1,evenly_split,46.31662130355835,8.4%
400,400,200,2,memaware,58.55063247680664,0.0%
