chunking_mode,avg_exec_time_sec,median_exec_time_sec,avg_peak_memory_bytes,median_peak_memory_bytes,runs
auto,19.723941337494622,15.71425986289978,3204587543.4057145,2618691584.0,525
evenly_split,19.53174993696667,15.71412444114685,3200881747.8704762,2625122304.0,525
memaware,51.02403953361014,37.6578323841095,2305978698.6666665,1891670016.0,768
