tool,step,memory_mb
traceq_psutil,81,2572.60078125
traceq_psutil,82,2572.60078125
traceq_psutil,83,2572.60078125
traceq_psutil,84,2572.60078125
traceq_psutil,85,2572.60078125
traceq_psutil,86,2572.60078125
traceq_psutil,87,2572.60078125
traceq_psutil,88,2572.60078125
traceq_psutil,89,2572.60078125
traceq_psutil,90,2572.60078125
traceq_psutil,91,2572.60078125
traceq_psutil,92,2572.60078125
traceq_psutil,93,2572.60078125
traceq_psutil,94,2572.60078125
traceq_psutil,95,2572.60078125
traceq_psutil,96,2572.60078125
traceq_psutil,97,2572.60078125
traceq_psutil,98,2572.60078125
traceq_psutil,99,2572.60078125
traceq_psutil,100,2572.60078125
traceq_psutil,101,2572.60078125
traceq_psutil,102,2572.60078125
traceq_psutil,103,2572.60078125
traceq_psutil,104,2572.60078125
traceq_psutil,105,2634.63203125
traceq_psutil,106,2761.44765625
traceq_psutil,107,2884.64765625
traceq_psutil,108,3043.07890625
traceq_psutil,109,3247.07890625
traceq_psutil,110,3451.47890625
traceq_psutil,111,3667.07890625
traceq_psutil,112,3865.503125
traceq_psutil,113,4013.12734375
traceq_psutil,114,4153.51796875
traceq_psutil,115,4264.31796875
traceq_psutil,116,4337.9328125
traceq_psutil,117,4387.9328125
traceq_psutil,118,4438.3328125
traceq_psutil,119,4488.3328125
traceq_psutil,120,4538.3328125
traceq_psutil,121,4592.3328125
traceq_psutil,122,4642.3328125
traceq_psutil,123,4692.3328125
traceq_psutil,124,4742.7328125
traceq_psutil,125,4792.7328125
traceq_psutil,126,4844.7328125
traceq_psutil,127,4895.5328125
traceq_psutil,128,4945.5328125
traceq_psutil,129,4999.1328125
traceq_psutil,130,5049.5328125
traceq_psutil,131,5099.9328125
traceq_psutil,132,5149.5328125
traceq_psutil,133,5199.9328125
traceq_psutil,134,5249.9328125
traceq_psutil,135,5305.5328125
traceq_psutil,136,5357.1328125
traceq_psutil,137,5407.1328125
traceq_psutil,138,5456.7328125
traceq_psutil,139,5506.7328125
traceq_psutil,140,5556.3328125
traceq_psutil,141,5606.7328125
traceq_psutil,142,5660.3328125
traceq_psutil,143,5713.9328125
traceq_psutil,144,5761.5328125
traceq_psutil,145,5146.7421875
traceq_psutil,146,4543.5515625
traceq_psutil,147,3947.59453125
traceq_psutil,148,2761.60390625
traceq_psutil,149,2777.246875
traceq_psutil,150,2858.846875
traceq_psutil,151,2941.246875
traceq_psutil,152,3022.446875
traceq_psutil,153,3104.446875
traceq_psutil,154,3186.046875
traceq_psutil,155,2605.73671875
traceq_psutil,156,2478.462890625
traceq_psutil,157,3306.83984375
traceq_psutil,158,3385.96484375
traceq_tracemalloc,0,494.404231262207
traceq_tracemalloc,1,1647.972141456604
traceq_tracemalloc,2,2142.35689201355
traceq_tracemalloc,3,2471.9466440200804
traceq_tracemalloc,4,2471.9466440200804
traceq_tracemalloc,5,2471.9466440200804
traceq_tracemalloc,6,2471.9466440200804
traceq_tracemalloc,7,2471.9466440200804
traceq_tracemalloc,8,2471.9466440200804
traceq_tracemalloc,9,2471.9466440200804
