,avg_peak_memory_usage
961,0.1519561767578125
988,0.2860557556152344
520,0.9116615295410156
817,0.21872329711914062
1458,1.537762451171875
547,1.2024131774902345
805,0.4797187805175781
1054,1.5377685546875
352,0.7330848693847656
1173,0.5245834350585937
997,0.5541847229003907
1344,0.46488113403320314
1311,1.3589248657226562
1066,1.00123291015625
259,0.4200653076171875
1294,1.9324325561523437
226,0.22623138427734374
1332,0.22636947631835938
46,0.22635345458984374
631,0.37521896362304685
541,0.8893989562988281
1183,0.5246871948242188
58,0.19635009765625
1482,1.7760795593261718
1021,0.7778923034667968
169,0.16657485961914062
835,0.8894683837890625
1434,1.2993492126464843
1286,0.8373649597167969
463,0.3752754211425781
76,0.16650314331054689
796,0.25618515014648435
127,0.24099502563476563
937,0.40506439208984374
1226,0.7330108642578125
1347,0.5246101379394531
853,0.8523384094238281
379,0.9415977478027344
1003,0.7329757690429688
94,0.34549713134765625
340,0.31587982177734375
766,2.0144554138183595
655,0.4647377014160156
1237,1.5676361083984376
172,0.22630081176757813
1180,0.4199638366699219
73,0.13705368041992189
52,0.15175018310546876
577,0.13702011108398438
199,0.15189895629882813
859,1.150311279296875
1253,1.4110389709472657
283,0.5245697021484375
934,2.1932655334472657
1214,1.2024993896484375
70,0.28605194091796876
814,0.7030364990234375
898,1.0012550354003906
1114,1.3589126586914062
16,0.15199127197265624
349,0.6286308288574218
136,0.3752922058105469
556,0.46474151611328124
49,0.1293914794921875
1407,0.8225914001464844
1096,1.7165420532226563
10,0.1371307373046875
703,0.6436752319335938
1147,2.610520935058594
181,0.405181884765625
331,0.732958984375
1217,1.3589187622070313
1247,0.8894515991210937
88,0.2860565185546875
823,0.44254531860351565
907,1.6719322204589844
79,0.1964111328125
22,0.16664352416992187
544,1.0459091186523437
1377,0.28606719970703126
325,0.5542022705078125
112,0.33074188232421875
472,0.6437164306640625
1419,1.77607421875
355,0.837200927734375
343,0.420123291015625
799,0.330670166015625
526,1.1801673889160156
1289,1.2024391174316407
1048,1.1801002502441407
433,0.17415924072265626
1150,2.9682632446289063
1277,1.9846778869628907
634,0.4646728515625
964,0.19644622802734374
1455,1.1801025390625
1353,0.22636871337890624
424,0.37527008056640626
1123,2.297595977783203
202,0.16651840209960939
1093,1.4481727600097656
505,0.24089813232421875
1500,1.060704803466797
1317,2.193395233154297
685,0.8522796630859375
580,0.16662368774414063
244,0.19659347534179689
328,0.6437553405761719
1269,1.0459091186523437
436,0.24091110229492188
277,0.40529327392578124
457,0.19645614624023439
1413,1.2993141174316407
745,0.34547882080078124
250,0.2860908508300781
310,0.7030616760253906
496,0.7778785705566407
490,0.5541130065917969
598,0.3456443786621094
736,1.3589019775390625
223,0.19637298583984375
949,1.5973663330078125
688,1.0012519836425782
1428,0.703033447265625
358,0.9416069030761719
1153,0.15953140258789061
1266,0.7329757690429688
784,0.33080902099609377
1087,0.9116775512695312
1223,0.5245994567871094
